Configuration,Iteration,The initial best way,Its distance,The best way after algorithm,Its distance,Last generation
SL-B CR-OX PR-50,4,13 7 19 16 2 21 20 22 9 29 5 28 27 10 1 6 3 25 24 26 30 12 11 18 14 8 15 17 23 4 ,2140950,18 23 19 26 8 29 2 28 11 7 27 14 21 15 25 5 24 17 20 12 10 16 6 13 1 3 30 9 4 22 ,2008660,302
SL-UT-C CR-PMX PR-16,5,1 14 2 18 3 12 15 13 8 9 22 10 30 28 23 16 11 7 26 21 24 5 4 27 25 29 6 19 20 17 ,2136020,12 17 24 28 23 25 14 30 22 10 21 9 6 20 13 3 15 16 5 1 18 4 29 8 26 11 7 2 27 19 ,2009160,41
SL-UT CR-OX PR-50,1,29 14 4 19 25 7 15 3 24 20 18 22 1 30 27 12 6 9 8 2 26 13 11 10 5 23 21 16 28 17 ,2115430,29 17 30 3 7 13 25 26 19 5 10 24 20 14 12 11 16 6 15 27 21 28 8 22 9 2 4 1 23 18 ,2011470,23
SL-UT-C CR-PMX PR-50,2,21 26 8 28 17 18 29 7 30 9 25 22 20 14 27 6 16 12 15 13 24 19 23 10 3 4 11 2 1 5 ,2146810,21 18 17 5 28 8 15 7 30 4 25 22 20 14 27 6 16 12 1 13 23 10 9 11 26 3 2 19 24 29 ,2012400,23
SL-UT CR-PMX PR-25,2,13 24 4 14 23 1 29 18 19 7 28 27 5 11 12 17 3 16 20 8 21 6 22 15 2 10 25 30 26 9 ,2126920,18 6 29 13 11 12 20 23 3 30 28 15 14 2 21 22 24 1 16 5 19 26 9 27 7 4 17 10 25 8 ,2013830,37
SL-UT-C CR-PMX PR-25,4,14 26 23 4 19 11 3 12 22 13 20 16 25 27 7 21 15 10 18 28 29 9 5 17 1 2 6 24 8 30 ,2135900,14 12 6 3 25 22 13 20 16 30 8 19 11 27 7 21 15 10 18 28 29 26 2 9 1 5 17 24 4 23 ,2015430,38
SL-B CR-PMX PR-25,5,27 11 17 10 9 16 18 4 3 19 8 14 7 24 1 30 25 20 2 6 15 26 13 23 12 21 29 22 5 28 ,2147440,7 3 22 9 13 4 28 29 23 20 10 30 24 26 18 14 27 11 17 21 15 19 5 12 8 6 25 1 16 2 ,2016860,67
SL-B CR-PMX PR-16,5,18 21 2 1 30 27 13 24 12 7 11 19 26 20 14 6 25 29 10 22 4 28 16 9 17 3 15 23 5 8 ,2126780,29 4 25 19 5 9 14 28 30 3 18 23 8 10 17 1 24 13 15 11 21 12 20 6 7 22 16 27 26 2 ,2017800,96
SL-UT-C CR-OX PR-16,5,8 22 20 18 17 9 11 3 28 1 29 6 16 15 2 30 23 12 10 4 5 13 24 26 7 14 19 27 25 21 ,2088200,10 13 24 27 21 14 26 29 23 20 4 25 30 15 28 6 18 9 11 2 19 7 17 12 1 8 5 3 16 22 ,2017800,30
SL-B CR-OX PR-25,4,20 17 14 8 28 4 10 13 3 9 1 25 27 7 18 26 22 29 15 11 5 30 16 24 23 2 19 21 6 12 ,2138270,14 9 23 5 28 4 13 2 26 8 1 30 10 11 20 7 6 3 22 12 17 24 16 18 27 25 29 21 15 19 ,2019590,212
SL-B CR-OX PR-25,3,20 19 5 14 26 24 7 1 11 9 27 21 12 29 28 15 4 2 23 17 16 22 3 8 6 13 18 10 30 25 ,2113080,20 14 4 1 18 22 9 23 30 27 2 19 10 24 17 25 3 12 28 21 16 29 8 7 6 13 26 15 5 11 ,2021130,207
SL-B CR-OX PR-50,5,17 22 25 1 2 5 11 30 20 14 6 12 16 4 28 29 18 10 8 27 24 9 13 7 15 23 3 26 19 21 ,2120140,13 17 29 27 22 4 15 30 12 28 18 23 8 2 24 16 20 3 14 7 9 1 11 19 25 26 10 21 6 5 ,2023240,171
SL-UT CR-OX PR-50,3,5 17 27 4 22 15 26 30 23 21 7 11 18 20 19 2 16 6 10 3 1 13 14 24 12 29 9 25 28 8 ,2114130,25 8 22 27 26 23 28 11 7 4 21 30 20 9 19 2 16 6 10 3 1 13 14 24 12 29 17 15 5 18 ,2024240,24
SL-UT CR-PMX PR-16,4,30 21 23 1 7 4 16 3 25 18 29 15 28 6 14 8 12 13 20 11 9 22 26 5 24 27 10 17 2 19 ,2121750,11 15 9 7 12 6 16 3 25 14 8 19 18 29 28 23 1 30 17 21 24 4 22 20 27 2 26 10 5 13 ,2025090,46
