Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
SL-UT CR-OX PR-16;2;7 23 28 5 4 14 19 16 6 10 3 24 21 25 12 1 27 18 15 11 26 30 17 20 2 9 22 29 8 13 ;2.12453e+06;4 24 23 1 5 18 14 13 2 27 19 12 28 21 11 7 10 15 26 30 17 20 8 29 16 6 22 3 9 25 ;2.02662e+06;176
SL-UT CR-OX PR-16;3;10 20 28 3 13 27 25 1 19 22 12 30 2 11 15 18 26 16 6 4 14 29 9 23 24 21 5 8 17 7 ;2.12185e+06;8 27 23 21 28 24 5 1 19 22 12 30 2 11 15 18 26 16 6 4 14 3 13 7 20 10 9 17 25 29 ;2.05324e+06;161
SL-UT CR-OX PR-16;4;7 26 8 16 13 22 5 18 17 15 30 20 21 12 6 25 27 19 29 10 9 11 4 2 1 28 3 14 24 23 ;2.12617e+06;10 9 11 2 28 5 1 3 20 22 17 12 30 6 7 8 26 13 18 16 4 24 15 14 19 23 29 27 21 25 ;2.04937e+06;171
SL-UT CR-OX PR-16;5;26 22 5 27 29 14 8 2 28 6 17 21 18 24 11 16 9 3 13 1 19 7 30 10 25 4 12 20 15 23 ;2.11202e+06;27 8 2 28 5 29 6 17 18 24 11 16 9 21 14 30 10 3 13 1 19 7 20 25 4 23 22 26 12 15 ;2.03382e+06;154
SL-UT CR-OX PR-25;1;13 27 25 5 30 11 6 24 3 19 15 29 8 2 16 10 17 20 1 22 4 26 21 18 12 28 9 23 7 14 ;2.13195e+06;3 6 28 23 5 22 29 24 1 17 14 25 12 7 27 18 10 30 20 16 26 13 21 4 19 2 9 15 8 11 ;2.06319e+06;84
SL-UT CR-OX PR-25;2;25 13 29 20 12 5 24 8 7 21 26 2 17 9 19 1 6 27 22 10 16 14 4 30 18 11 23 28 15 3 ;2.1421e+06;2 9 12 15 19 4 7 21 24 6 28 1 29 27 18 14 20 8 3 17 13 5 16 10 25 23 11 26 30 22 ;2.01081e+06;44
SL-UT CR-OX PR-25;3;17 15 30 1 22 16 6 18 19 14 4 10 2 29 26 24 28 13 23 7 8 12 21 5 20 9 3 27 25 11 ;2.1271e+06;19 2 16 4 27 29 26 28 13 24 8 20 22 12 5 21 1 15 23 7 3 11 10 17 18 25 30 6 14 9 ;2.02988e+06;33
SL-UT CR-OX PR-25;4;19 26 2 21 3 13 6 20 14 18 8 23 30 28 11 22 7 9 25 12 27 29 15 5 10 17 4 16 1 24 ;2.12732e+06;4 11 14 30 25 2 12 1 8 21 19 7 28 26 15 16 20 27 10 17 29 5 3 6 9 22 18 24 23 13 ;2.06939e+06;40
SL-UT CR-OX PR-25;5;17 1 22 19 13 24 12 8 4 23 11 7 30 29 9 10 20 15 27 5 18 3 28 16 25 21 2 26 14 6 ;2.11039e+06;27 24 13 18 28 11 16 29 25 23 10 21 3 9 5 8 26 1 17 30 6 4 20 7 19 22 14 2 15 12 ;2.05314e+06;40
SL-UT CR-OX PR-50;1;14 3 21 25 30 4 15 26 10 12 16 27 8 2 17 20 18 9 23 11 1 13 24 6 19 7 28 29 22 5 ;2.11328e+06;28 2 10 24 21 29 6 4 9 3 17 25 16 18 19 7 1 12 15 13 30 27 5 20 11 22 26 8 23 14 ;2.04584e+06;21
