Configuration,Iteration,The initial best way,Its distance,The best way after algorithm,Its distance
SL-B B-50 PS-50 PR-50 SV-100 GI-0.4,3,2 8 10 7 6 12 1 9 3 11 5 4 ,1758,9 4 1 5 11 6 12 10 8 7 2 3 ,1676
SL-B B-4 PS-20 PR-6 SV-50 GI-0.5,3,3 10 1 8 11 2 12 9 5 4 7 6 ,1818,3 10 5 2 12 1 11 7 8 6 4 9 ,1676
SL-B B-16 PS-50 PR-16 SV-50 GI-0.3,3,5 1 11 12 7 3 2 6 8 10 4 9 ,1766,3 2 6 10 11 5 12 7 8 1 4 9 ,1676
SL-B B-16 PS-50 PR-25 SV-50 GI-0.4,2,8 3 11 10 1 12 9 4 5 7 2 6 ,1796,3 10 11 2 6 12 7 9 8 5 1 4 ,1676
SL-B B-33 PS-50 PR-50 SV-10 GI-0.5,2,3 7 1 6 12 2 11 4 8 10 5 9 ,1754,3 10 6 2 12 5 11 7 8 1 4 9 ,1676
SL-UT PS-20 PR-10 SV-50 GI-0.5,1,2 6 7 5 1 4 12 10 8 9 11 3 ,1808,9 4 1 6 7 5 11 10 8 12 2 3 ,1676
SL-UT PS-50 PR-16 SV-100 GI-0.5,1,8 12 5 1 11 10 9 4 3 7 6 2 ,1790,3 2 6 10 12 7 11 5 8 1 4 9 ,1676
SL-UT PS-50 PR-25 SV-100 GI-0.5,2,4 9 7 5 1 12 8 2 6 10 11 3 ,1770,3 10 5 2 11 7 12 1 8 6 4 9 ,1676
SL-UTC PS-50 PR-16 SV-50 GI-0.4,1,3 1 2 4 12 9 10 11 5 6 7 8 ,1776,3 2 7 10 12 5 11 6 8 1 4 9 ,1676
SL-UTC PS-50 PR-25 SV-50 GI-0.3,1,2 3 8 7 6 12 5 10 11 1 9 4 ,1780,9 4 5 11 12 7 6 10 1 2 3 8 ,1676
SL-UTC PS-50 PR-25 SV-50 GI-0.3,3,2 11 12 7 3 6 5 9 10 8 4 1 ,1770,9 4 5 7 2 6 12 3 1 11 10 8 ,1676
SL-B B-6 PS-20 PR-10 SV-50 GI-0.3,1,10 11 6 12 2 5 3 1 7 9 4 8 ,1784,3 10 5 8 12 11 6 1 2 7 4 9 ,1678
SL-B B-2 PS-50 PR-16 SV-100 GI-0.4,1,9 11 4 6 8 7 1 5 10 12 2 3 ,1780,8 10 2 11 7 12 6 9 3 5 1 4 ,1678
SL-B B-25 PS-50 PR-25 SV-10 GI-0.3,3,3 7 11 1 10 2 6 9 8 12 5 4 ,1802,4 9 5 11 12 7 6 10 1 2 3 8 ,1678
SL-B B-16 PS-50 PR-25 SV-100 GI-0.4,2,9 11 6 7 12 5 10 8 4 2 1 3 ,1742,9 4 5 7 6 2 12 11 1 10 3 8 ,1678
SL-B B-33 PS-50 PR-50 SV-10 GI-0.3,1,4 9 1 2 5 11 6 10 8 7 3 12 ,1800,8 10 6 11 2 7 12 5 3 1 4 9 ,1678
SL-B B-50 PS-50 PR-50 SV-50 GI-0.3,1,4 6 11 9 7 2 10 12 8 5 1 3 ,1752,8 10 6 11 2 7 12 5 3 1 4 9 ,1678
SL-B B-10 PS-50 PR-16 SV-100 GI-0.4,3,6 8 2 3 12 7 5 11 10 1 4 9 ,1746,3 2 6 10 7 11 12 1 8 5 4 9 ,1678
SL-B B-25 PS-50 PR-25 SV-100 GI-0.3,3,8 3 12 1 11 5 6 10 7 9 2 4 ,1792,8 11 10 12 2 6 5 1 3 7 4 9 ,1678
SL-B B-2 PS-50 PR-25 SV-100 GI-0.5,2,9 12 5 11 4 2 6 10 1 7 3 8 ,1782,3 10 11 2 6 7 12 1 8 5 4 9 ,1678
SL-UT PS-20 PR-10 SV-100 GI-0.4,1,4 8 7 5 1 6 12 11 9 2 10 3 ,1730,9 1 7 4 11 12 6 2 8 5 10 3 ,1678
SL-UT PS-50 PR-50 SV-10 GI-0.4,3,4 9 5 7 3 10 6 12 1 8 11 2 ,1798,3 5 10 2 12 11 6 7 8 1 4 9 ,1678
SL-UT PS-50 PR-50 SV-100 GI-0.5,2,3 10 8 1 12 11 7 6 5 2 4 9 ,1766,8 3 5 2 12 11 7 1 10 6 4 9 ,1678
SL-UTC PS-50 PR-16 SV-50 GI-0.4,2,5 3 8 1 6 2 12 7 10 11 4 9 ,1786,8 10 2 11 6 7 5 1 3 12 4 9 ,1678
SL-UTC PS-50 PR-16 SV-50 GI-0.5,1,11 9 7 6 2 10 1 8 4 12 5 3 ,1768,8 11 10 6 2 7 12 5 3 1 4 9 ,1678
SL-B B-6 PS-10 PR-10 SV-50 GI-0.5,3,4 1 9 8 12 7 10 11 6 2 3 5 ,1798,3 10 11 2 5 6 12 4 8 7 1 9 ,1680
SL-B B-10 PS-20 PR-10 SV-10 GI-0.3,3,12 10 2 1 5 6 7 3 11 8 9 4 ,1824,3 2 10 7 12 6 5 1 8 11 9 4 ,1680
SL-B B-2 PS-20 PR-20 SV-100 GI-0.4,1,10 2 1 3 12 11 6 7 8 5 9 4 ,1778,3 2 7 10 12 11 6 1 8 5 4 9 ,1680
SL-B B-2 PS-50 PR-25 SV-100 GI-0.3,1,9 2 10 5 11 6 7 3 12 4 1 8 ,1810,3 10 2 12 7 11 5 1 8 6 9 4 ,1680
SL-B B-50 PS-50 PR-50 SV-10 GI-0.3,1,8 10 1 2 11 5 3 7 12 6 9 4 ,1800,3 2 10 6 12 11 7 1 8 5 4 9 ,1680
SL-B B-50 PS-50 PR-50 SV-100 GI-0.5,3,9 4 10 11 3 2 12 5 6 7 8 1 ,1792,9 4 7 11 12 6 5 10 1 2 3 8 ,1680
SL-B B-13 PS-20 PR-20 SV-100 GI-0.4,3,9 7 6 2 5 1 8 12 4 11 3 10 ,1788,3 2 7 10 11 6 12 5 8 1 4 9 ,1680
SL-B B-20 PS-20 PR-20 SV-100 GI-0.5,1,10 9 5 4 11 6 1 12 2 7 8 3 ,1800,9 4 1 5 6 7 11 10 8 12 2 3 ,1680
SL-B B-10 PS-50 PR-16 SV-10 GI-0.4,1,4 9 3 11 2 12 10 6 1 5 7 8 ,1810,8 10 5 11 2 12 7 1 3 6 9 4 ,1680
SL-B B-16 PS-50 PR-25 SV-10 GI-0.4,1,8 10 5 3 12 7 6 4 1 11 2 9 ,1764,3 10 5 12 11 1 2 7 8 6 4 9 ,1680
SL-B B-2 PS-50 PR-25 SV-50 GI-0.4,1,1 11 7 12 3 2 10 5 8 6 4 9 ,1772,9 4 1 5 11 12 7 6 8 10 2 3 ,1680
SL-B B-2 PS-50 PR-25 SV-50 GI-0.4,3,4 9 5 3 10 6 11 12 1 7 8 2 ,1774,3 2 10 11 12 5 7 6 8 1 4 9 ,1680
