Configuration,Iteration,The initial best way,Its distance,The best way after algorithm,Its distance
SL-UT PS-10 PR-10 SV-100 GI-0.4,2,8 10 11 3 6 12 4 7 2 5 9 1 ,1772,3 10 5 11 12 6 4 7 2 9 1 8 ,1722
SL-UT PS-20 PR-6 SV-50 GI-0.3,2,3 4 12 11 6 7 2 5 9 10 8 1 ,1812,8 3 12 11 6 7 2 5 10 9 1 4 ,1722
SL-UT PS-50 PR-16 SV-10 GI-0.4,2,8 10 2 5 12 11 3 7 6 4 1 9 ,1758,9 7 4 1 6 5 2 12 8 11 10 3 ,1722
SL-UT PS-50 PR-25 SV-10 GI-0.3,2,12 3 7 11 10 5 8 9 2 6 1 4 ,1788,1 9 7 11 5 12 6 10 4 2 3 8 ,1722
SL-UT PS-50 PR-25 SV-10 GI-0.4,1,10 3 5 11 2 7 12 6 8 9 1 4 ,1742,3 10 5 11 2 7 12 6 8 9 1 4 ,1722
SL-UTC PS-10 PR-5 SV-50 GI-0.5,2,3 7 6 5 2 11 12 9 1 10 8 4 ,1814,9 7 1 11 12 2 5 6 4 10 3 8 ,1722
SL-UTC PS-20 PR-20 SV-10 GI-0.4,1,3 8 12 2 7 11 9 4 10 5 6 1 ,1796,9 4 6 1 2 12 10 11 7 5 3 8 ,1722
SL-UTC PS-50 PR-25 SV-50 GI-0.5,1,9 5 1 10 6 12 11 7 4 3 8 2 ,1790,9 11 5 10 12 2 7 1 4 6 3 8 ,1722
SL-B B-3 PS-10 PR-3 SV-50 GI-0.3,1,1 11 12 3 5 6 4 10 9 2 7 8 ,1830,4 7 12 6 11 1 2 10 9 5 3 8 ,1724
SL-B B-2 PS-10 PR-5 SV-100 GI-0.4,1,3 5 10 9 11 1 6 12 8 4 7 2 ,1820,8 4 5 9 7 10 6 11 1 2 12 3 ,1724
SL-B B-2 PS-10 PR-10 SV-100 GI-0.3,1,8 4 10 1 12 2 5 3 6 11 9 7 ,1844,3 2 5 1 12 7 11 8 10 6 9 4 ,1724
SL-B B-6 PS-10 PR-10 SV-100 GI-0.4,1,2 12 5 3 8 10 11 1 7 6 9 4 ,1804,8 9 11 4 1 6 12 5 7 10 2 3 ,1724
SL-B B-2 PS-10 PR-10 SV-100 GI-0.5,2,9 8 4 6 11 5 2 12 7 1 10 3 ,1798,8 5 11 2 12 3 7 6 10 1 4 9 ,1724
SL-B B-6 PS-10 PR-10 SV-100 GI-0.5,3,4 5 2 11 9 6 7 10 12 1 8 3 ,1822,9 4 5 3 11 6 12 10 1 2 7 8 ,1724
SL-B B-4 PS-20 PR-6 SV-100 GI-0.5,1,2 7 10 6 4 9 12 11 8 1 5 3 ,1798,9 2 6 7 11 12 1 8 4 5 10 3 ,1724
SL-B B-6 PS-20 PR-10 SV-50 GI-0.5,2,8 1 11 12 3 2 5 9 7 6 10 4 ,1796,4 6 1 2 12 7 11 5 9 10 3 8 ,1724
SL-B B-2 PS-20 PR-10 SV-100 GI-0.4,1,6 5 2 11 7 9 12 1 3 10 4 8 ,1796,8 1 6 5 11 12 7 9 4 2 10 3 ,1724
SL-B B-2 PS-50 PR-16 SV-10 GI-0.4,1,2 3 7 8 11 5 12 6 1 10 9 4 ,1788,9 1 4 7 12 5 6 11 3 2 10 8 ,1724
SL-B B-16 PS-50 PR-16 SV-10 GI-0.5,3,3 10 6 2 5 12 7 4 9 11 8 1 ,1766,3 10 5 11 12 8 1 4 2 6 7 9 ,1724
SL-B B-50 PS-50 PR-50 SV-10 GI-0.5,3,10 2 5 12 3 11 6 1 7 9 8 4 ,1798,8 9 7 11 6 4 12 5 1 2 10 3 ,1724
SL-B B-2 PS-10 PR-3 SV-50 GI-0.4,3,8 9 11 5 7 6 10 12 4 3 1 2 ,1832,4 9 11 5 7 6 10 12 1 2 3 8 ,1724
SL-B B-2 PS-10 PR-3 SV-50 GI-0.4,1,4 9 8 10 5 11 1 3 6 2 12 7 ,1840,4 9 5 11 7 6 10 2 1 12 3 8 ,1724
SL-B B-2 PS-10 PR-3 SV-50 GI-0.4,3,8 11 6 9 5 1 10 7 12 2 4 3 ,1860,3 12 10 11 5 6 4 9 2 7 1 8 ,1724
SL-B B-2 PS-10 PR-5 SV-100 GI-0.4,3,11 3 1 8 12 10 2 5 7 6 9 4 ,1826,3 6 1 2 7 5 11 10 8 12 4 9 ,1724
SL-B B-5 PS-10 PR-5 SV-100 GI-0.5,1,1 11 6 8 7 4 5 10 2 12 3 9 ,1832,4 1 7 5 6 2 10 12 9 11 3 8 ,1724
SL-B B-2 PS-10 PR-10 SV-50 GI-0.5,3,8 11 5 2 3 9 6 1 10 7 4 12 ,1856,3 2 12 7 6 11 9 1 10 5 4 8 ,1724
SL-B B-4 PS-20 PR-6 SV-50 GI-0.4,2,2 11 12 10 6 3 8 1 7 4 5 9 ,1804,9 7 6 11 10 5 12 4 2 3 1 8 ,1724
SL-B B-2 PS-20 PR-6 SV-100 GI-0.4,3,12 2 7 4 11 10 6 1 3 5 8 9 ,1826,8 6 7 3 10 5 12 4 2 11 1 9 ,1724
SL-B B-2 PS-20 PR-10 SV-50 GI-0.3,3,2 7 12 6 11 3 10 8 1 5 4 9 ,1778,9 4 5 10 3 6 12 11 1 2 7 8 ,1724
SL-B B-16 PS-50 PR-16 SV-10 GI-0.3,2,2 11 12 10 6 5 3 9 7 4 8 1 ,1808,9 1 4 5 12 11 10 6 8 7 2 3 ,1724
SL-B B-16 PS-50 PR-16 SV-50 GI-0.4,3,9 4 5 1 12 11 6 2 7 8 3 10 ,1744,4 1 5 3 7 6 12 10 9 2 11 8 ,1724
SL-B B-2 PS-50 PR-16 SV-100 GI-0.3,3,2 3 6 1 5 7 12 10 8 11 4 9 ,1750,2 3 11 6 7 10 12 1 8 5 9 4 ,1724
SL-B B-2 PS-50 PR-25 SV-10 GI-0.3,3,11 6 2 4 12 9 10 5 3 7 1 8 ,1804,8 10 11 1 5 12 6 7 3 2 9 4 ,1724
SL-B B-25 PS-50 PR-25 SV-10 GI-0.3,2,4 11 6 10 12 5 7 2 9 8 3 1 ,1766,4 1 11 12 6 5 7 2 9 3 10 8 ,1724
SL-B B-2 PS-50 PR-25 SV-100 GI-0.3,2,8 7 10 2 11 5 4 12 6 9 1 3 ,1798,1 9 7 11 6 2 12 3 4 5 10 8 ,1724
SL-B B-16 PS-50 PR-25 SV-100 GI-0.3,1,8 1 3 7 10 6 2 11 12 5 9 4 ,1784,10 2 11 3 6 7 12 4 8 5 1 9 ,1724
SL-B B-50 PS-50 PR-50 SV-50 GI-0.3,3,4 9 11 1 6 5 8 12 10 7 2 3 ,1758,8 11 12 6 7 2 5 9 10 3 1 4 ,1724
SL-UT PS-10 PR-5 SV-50 GI-0.3,1,9 7 11 3 5 2 12 4 1 6 10 8 ,1794,9 4 6 5 12 1 2 10 7 11 3 8 ,1724
SL-UT PS-10 PR-5 SV-100 GI-0.5,1,9 10 12 6 11 8 2 4 7 3 5 1 ,1832,1 4 7 6 11 8 12 2 9 5 3 10 ,1724
SL-UT PS-10 PR-10 SV-10 GI-0.5,1,8 10 5 11 1 6 3 2 9 7 4 12 ,1866,8 3 5 6 12 11 2 4 10 7 9 1 ,1724
SL-UT PS-20 PR-6 SV-100 GI-0.4,1,5 10 6 9 11 7 12 1 4 2 8 3 ,1814,9 11 6 10 12 5 7 1 4 2 3 8 ,1724
SL-UT PS-20 PR-20 SV-10 GI-0.4,1,10 11 1 3 12 5 2 7 8 4 9 6 ,1798,4 1 12 7 11 5 2 6 9 10 3 8 ,1724
SL-UTC PS-10 PR-3 SV-100 GI-0.5,1,6 9 12 2 10 7 4 3 11 8 5 1 ,1850,10 11 5 8 2 12 7 1 3 6 9 4 ,1724
SL-UTC PS-20 PR-6 SV-50 GI-0.4,3,8 1 5 4 11 6 7 9 12 3 2 10 ,1800,9 4 7 6 2 10 1 5 8 11 12 3 ,1724
SL-UTC PS-20 PR-10 SV-50 GI-0.5,2,1 2 6 12 5 10 7 4 8 11 9 3 ,1804,3 2 6 12 10 5 7 4 8 11 9 1 ,1724
SL-UTC PS-50 PR-25 SV-10 GI-0.5,3,3 5 10 6 11 7 12 4 9 2 1 8 ,1782,3 8 11 5 2 10 6 1 12 7 4 9 ,1724
SL-B B-5 PS-10 PR-5 SV-100 GI-0.3,3,9 6 4 2 10 1 3 12 8 7 11 5 ,1872,3 2 5 6 12 4 11 9 10 7 1 8 ,1726
SL-B B-10 PS-10 PR-10 SV-100 GI-0.3,3,4 5 3 10 8 12 9 7 1 11 6 2 ,1820,1 4 5 9 7 11 2 3 12 6 10 8 ,1726
SL-B B-2 PS-20 PR-6 SV-50 GI-0.3,3,3 10 2 5 6 9 12 1 7 4 11 8 ,1764,8 3 6 11 2 10 5 1 7 12 4 9 ,1726
SL-B B-6 PS-20 PR-6 SV-100 GI-0.5,2,3 2 5 7 6 11 8 10 1 12 9 4 ,1768,3 2 7 10 5 12 9 4 6 11 1 8 ,1726
SL-B B-10 PS-20 PR-10 SV-100 GI-0.5,1,4 9 12 7 5 3 6 2 11 1 10 8 ,1776,3 2 6 10 7 8 12 5 11 4 1 9 ,1726
SL-B B-2 PS-20 PR-20 SV-50 GI-0.3,2,9 4 10 12 6 5 7 8 11 2 3 1 ,1754,4 1 5 2 6 12 7 10 9 11 8 3 ,1726
SL-B B-16 PS-50 PR-16 SV-10 GI-0.4,1,4 9 8 10 7 11 12 2 6 5 1 3 ,1772,9 1 5 6 11 12 10 2 4 7 3 8 ,1726
SL-B B-2 PS-50 PR-50 SV-50 GI-0.4,1,6 9 11 2 10 3 12 7 4 5 1 8 ,1776,9 1 11 7 6 2 5 12 4 3 10 8 ,1726
SL-B B-2 PS-50 PR-50 SV-100 GI-0.5,1,3 5 2 11 12 6 7 8 1 9 4 10 ,1792,4 1 7 9 6 11 5 2 8 10 3 12 ,1726
SL-B B-3 PS-10 PR-3 SV-100 GI-0.5,1,1 11 7 3 12 10 5 4 9 2 6 8 ,1816,8 3 2 10 5 11 7 4 6 12 1 9 ,1726
SL-B B-3 PS-10 PR-5 SV-10 GI-0.5,3,1 11 6 4 5 2 7 12 9 10 8 3 ,1792,8 1 4 5 6 2 7 12 9 10 11 3 ,1726
SL-B B-2 PS-10 PR-10 SV-50 GI-0.3,3,4 5 9 1 11 6 12 8 2 7 10 3 ,1794,8 11 6 7 12 1 10 3 2 5 9 4 ,1726
SL-B B-4 PS-20 PR-6 SV-10 GI-0.5,3,10 2 1 3 5 4 11 6 8 12 7 9 ,1804,8 6 10 2 12 7 3 4 11 5 1 9 ,1726
SL-B B-2 PS-20 PR-6 SV-100 GI-0.3,2,11 10 3 6 8 2 5 7 12 1 9 4 ,1802,8 3 2 7 6 11 12 1 10 9 5 4 ,1726
SL-B B-10 PS-20 PR-10 SV-10 GI-0.4,2,9 7 3 2 1 5 6 10 4 12 11 8 ,1770,8 3 2 5 11 10 6 1 12 7 4 9 ,1726
SL-B B-10 PS-20 PR-10 SV-50 GI-0.4,2,9 5 4 2 7 6 12 10 1 11 8 3 ,1726,9 5 4 2 7 6 12 10 1 11 8 3 ,1726
SL-B B-10 PS-20 PR-10 SV-100 GI-0.3,2,3 5 2 10 12 11 9 4 8 6 7 1 ,1776,9 4 11 7 6 1 2 10 5 12 3 8 ,1726
SL-B B-13 PS-20 PR-20 SV-10 GI-0.3,1,4 9 1 5 6 8 11 12 7 3 10 2 ,1766,3 10 5 11 6 9 12 4 2 7 1 8 ,1726
SL-B B-13 PS-20 PR-20 SV-10 GI-0.3,2,3 1 5 10 6 7 12 8 2 4 11 9 ,1796,4 1 7 6 12 5 10 11 9 2 3 8 ,1726
SL-B B-13 PS-20 PR-20 SV-10 GI-0.4,3,6 12 10 11 7 2 5 1 3 8 4 9 ,1780,12 10 2 11 5 1 6 4 3 7 9 8 ,1726
SL-B B-2 PS-20 PR-20 SV-50 GI-0.5,2,1 9 4 3 10 11 12 6 8 5 7 2 ,1812,8 1 4 11 7 12 10 6 9 5 3 2 ,1726
SL-B B-13 PS-20 PR-20 SV-100 GI-0.3,2,8 1 4 3 6 7 12 5 10 2 9 11 ,1830,1 4 5 3 2 12 7 6 9 10 11 8 ,1726
SL-B B-10 PS-50 PR-16 SV-50 GI-0.3,3,11 7 2 12 6 8 5 3 10 1 9 4 ,1766,2 6 7 3 10 5 11 9 8 12 1 4 ,1726
SL-B B-16 PS-50 PR-16 SV-100 GI-0.5,2,3 11 12 8 2 10 7 5 6 1 9 4 ,1762,8 1 12 3 2 7 5 10 11 6 4 9 ,1726
SL-B B-2 PS-50 PR-25 SV-10 GI-0.5,1,4 9 6 2 7 5 11 3 10 1 12 8 ,1772,4 9 8 6 7 11 5 3 1 2 12 10 ,1726
SL-B B-2 PS-50 PR-25 SV-10 GI-0.5,3,8 11 2 10 5 12 1 3 7 6 4 9 ,1776,9 1 12 5 11 10 6 3 4 7 2 8 ,1726
SL-B B-25 PS-50 PR-25 SV-10 GI-0.5,1,3 10 11 2 12 9 8 5 6 7 1 4 ,1770,8 3 6 5 11 10 12 7 2 1 4 9 ,1726
SL-UT PS-10 PR-10 SV-50 GI-0.3,2,3 5 4 8 11 12 6 9 10 7 2 1 ,1824,2 3 7 10 5 12 6 9 8 11 1 4 ,1726
SL-UT PS-10 PR-10 SV-100 GI-0.5,2,9 6 1 7 4 8 10 2 5 12 11 3 ,1816,3 2 6 7 10 12 5 9 11 1 4 8 ,1726
SL-UT PS-20 PR-10 SV-10 GI-0.3,1,7 9 4 2 12 11 5 3 6 10 8 1 ,1794,9 7 6 2 5 12 1 3 4 11 10 8 ,1726
SL-UT PS-20 PR-10 SV-10 GI-0.5,2,4 12 11 9 6 5 10 7 3 2 1 8 ,1790,10 2 8 5 11 7 12 1 3 6 4 9 ,1726
SL-UT PS-20 PR-20 SV-10 GI-0.5,3,10 5 12 3 8 1 11 6 2 7 9 4 ,1756,4 8 9 7 5 6 12 11 1 2 10 3 ,1726
SL-UTC PS-10 PR-3 SV-10 GI-0.4,3,3 12 8 11 6 10 2 7 1 5 9 4 ,1760,4 12 7 11 6 10 2 1 9 5 3 8 ,1726
SL-UTC PS-10 PR-3 SV-100 GI-0.4,1,9 6 10 1 11 5 3 2 4 12 7 8 ,1812,9 4 1 11 12 10 2 3 5 7 6 8 ,1726
SL-UTC PS-10 PR-5 SV-50 GI-0.4,2,8 3 12 11 2 6 10 5 7 1 4 9 ,1736,8 3 2 12 11 6 5 10 7 1 4 9 ,1726
SL-UTC PS-50 PR-16 SV-10 GI-0.5,3,3 4 2 10 5 6 11 12 9 1 7 8 ,1772,9 7 11 6 2 12 10 5 4 3 1 8 ,1726
SL-B B-2 PS-10 PR-3 SV-10 GI-0.4,2,10 5 11 4 3 2 1 8 12 6 7 9 ,1804,9 4 2 1 12 5 7 8 6 11 10 3 ,1728
SL-B B-2 PS-10 PR-3 SV-50 GI-0.3,1,4 8 10 12 7 2 5 1 3 11 6 9 ,1804,4 9 12 7 6 2 5 3 1 10 11 8 ,1728
SL-B B-2 PS-10 PR-3 SV-50 GI-0.5,3,10 12 8 5 4 1 2 11 3 7 9 6 ,1828,8 2 10 3 11 12 7 6 5 1 4 9 ,1728
SL-B B-2 PS-10 PR-3 SV-100 GI-0.3,2,9 4 12 2 6 10 7 11 5 8 3 1 ,1816,9 4 6 11 12 7 10 3 1 2 5 8 ,1728
SL-B B-3 PS-10 PR-3 SV-100 GI-0.4,3,6 1 11 9 2 7 10 5 8 12 3 4 ,1826,8 3 2 5 10 12 11 7 6 1 4 9 ,1728
SL-B B-5 PS-10 PR-5 SV-100 GI-0.5,3,8 2 12 6 7 5 11 9 1 10 4 3 ,1778,4 1 5 8 11 7 12 10 9 3 6 2 ,1728
SL-B B-10 PS-10 PR-10 SV-50 GI-0.3,1,3 7 11 12 6 10 4 2 9 1 5 8 ,1822,6 2 10 7 11 8 5 12 3 1 4 9 ,1728
SL-B B-6 PS-10 PR-10 SV-50 GI-0.4,1,10 3 7 5 9 11 6 1 2 4 12 8 ,1818,10 5 2 11 12 4 7 8 3 6 1 9 ,1728
SL-B B-10 PS-10 PR-10 SV-100 GI-0.5,1,3 8 1 2 5 6 9 7 4 12 11 10 ,1814,8 9 1 11 7 6 10 2 4 12 5 3 ,1728
SL-B B-10 PS-10 PR-10 SV-100 GI-0.5,3,4 5 1 10 12 11 6 9 3 8 2 7 ,1816,9 5 1 10 12 11 6 3 4 2 7 8 ,1728
SL-B B-2 PS-20 PR-6 SV-50 GI-0.5,2,1 12 3 2 7 8 5 11 10 6 9 4 ,1820,8 3 6 12 7 1 5 10 2 11 4 9 ,1728
SL-B B-2 PS-20 PR-6 SV-100 GI-0.3,2,3 2 8 6 7 11 4 9 10 5 12 1 ,1792,2 5 10 12 6 7 11 4 3 9 1 8 ,1728
SL-B B-6 PS-20 PR-10 SV-10 GI-0.5,1,6 9 7 10 12 11 2 4 8 3 1 5 ,1834,9 6 7 10 12 2 11 1 4 5 3 8 ,1728
SL-B B-10 PS-20 PR-10 SV-50 GI-0.4,2,4 9 5 1 6 7 8 12 2 3 10 11 ,1796,8 1 6 7 12 5 2 10 3 11 4 9 ,1728
SL-B B-10 PS-20 PR-10 SV-100 GI-0.3,3,11 9 12 7 1 10 2 8 4 5 6 3 ,1808,9 7 1 6 2 12 10 8 4 11 5 3 ,1728
SL-B B-2 PS-20 PR-20 SV-100 GI-0.4,2,8 2 6 10 7 12 1 9 11 3 4 5 ,1786,2 6 7 10 3 12 11 9 8 5 1 4 ,1728
SL-B B-16 PS-50 PR-16 SV-10 GI-0.3,1,4 11 7 10 6 12 2 8 9 5 3 1 ,1754,9 4 1 7 11 6 2 5 12 10 3 8 ,1728
SL-B B-16 PS-50 PR-16 SV-50 GI-0.4,1,4 11 6 9 5 1 12 10 8 3 7 2 ,1796,4 1 6 11 5 2 7 8 9 12 10 3 ,1728
SL-B B-10 PS-50 PR-16 SV-100 GI-0.3,1,9 11 7 6 5 2 10 1 4 12 3 8 ,1750,10 2 5 12 7 11 1 9 3 6 4 8 ,1728
SL-B B-16 PS-50 PR-25 SV-10 GI-0.5,1,8 7 11 6 12 3 1 10 9 2 5 4 ,1800,5 2 10 12 11 7 6 4 3 9 1 8 ,1728
SL-B B-16 PS-50 PR-25 SV-10 GI-0.5,3,8 11 6 5 12 3 1 10 7 2 9 4 ,1802,1 6 9 11 12 7 5 10 4 2 3 8 ,1728
SL-B B-2 PS-50 PR-25 SV-50 GI-0.4,2,1 8 6 11 7 4 2 12 9 10 3 5 ,1788,3 2 6 10 7 4 12 5 8 11 1 9 ,1728
SL-B B-25 PS-50 PR-25 SV-100 GI-0.5,2,3 9 2 6 11 10 7 5 4 12 1 8 ,1790,9 1 11 4 5 6 12 3 7 2 10 8 ,1728
SL-B B-2 PS-50 PR-50 SV-10 GI-0.4,3,4 9 7 8 3 6 5 12 1 10 11 2 ,1772,4 1 3 5 7 6 12 11 9 2 10 8 ,1728
SL-B B-50 PS-50 PR-50 SV-100 GI-0.3,2,9 1 4 6 2 12 7 3 5 8 10 11 ,1790,3 2 12 6 7 10 1 9 11 5 4 8 ,1728
SL-B B-3 PS-10 PR-5 SV-10 GI-0.3,3,12 3 7 2 8 11 5 1 6 10 9 4 ,1802,3 5 6 2 12 7 10 1 8 11 4 9 ,1728
SL-B B-10 PS-10 PR-10 SV-10 GI-0.4,3,10 5 9 12 11 2 6 7 3 4 8 1 ,1814,3 5 1 12 11 2 6 7 8 10 4 9 ,1728
SL-B B-2 PS-10 PR-10 SV-10 GI-0.5,1,7 4 12 11 2 6 1 10 3 9 5 8 ,1888,8 3 11 12 2 10 6 1 7 5 4 9 ,1728
SL-B B-6 PS-10 PR-10 SV-100 GI-0.5,1,3 8 9 11 5 7 12 10 1 2 6 4 ,1802,8 3 11 5 12 7 6 10 1 2 4 9 ,1728
SL-B B-6 PS-20 PR-6 SV-10 GI-0.3,1,3 12 2 4 7 6 10 5 1 8 11 9 ,1818,9 4 6 5 1 10 7 2 8 11 12 3 ,1728
SL-B B-2 PS-20 PR-6 SV-50 GI-0.4,1,2 6 7 12 5 11 10 3 8 1 4 9 ,1758,4 1 5 9 6 2 11 10 12 7 3 8 ,1728
SL-B B-2 PS-20 PR-6 SV-100 GI-0.3,1,10 2 12 9 6 3 7 1 4 5 11 8 ,1816,9 8 1 11 12 7 5 6 4 2 10 3 ,1728
SL-B B-6 PS-20 PR-10 SV-10 GI-0.5,1,2 6 8 5 11 12 4 3 10 7 1 9 ,1834,6 2 10 11 7 12 5 9 3 1 4 8 ,1728
SL-B B-6 PS-20 PR-10 SV-100 GI-0.3,3,3 10 6 4 2 1 12 7 8 5 9 11 ,1806,3 5 2 11 6 8 12 9 10 7 1 4 ,1728
SL-B B-2 PS-20 PR-20 SV-50 GI-0.3,2,8 1 11 7 9 2 12 5 4 6 10 3 ,1752,2 10 12 6 5 7 1 4 3 11 9 8 ,1728
SL-B B-13 PS-20 PR-20 SV-50 GI-0.3,3,7 2 11 6 10 12 8 5 3 1 4 9 ,1758,3 6 12 2 11 8 7 5 10 1 4 9 ,1728
SL-B B-20 PS-20 PR-20 SV-50 GI-0.4,3,1 5 8 9 4 6 11 12 3 7 10 2 ,1796,9 4 2 1 7 5 12 3 6 11 8 10 ,1728
SL-B B-2 PS-20 PR-20 SV-100 GI-0.3,3,3 2 10 5 11 7 6 9 12 1 8 4 ,1728,3 2 10 5 11 7 6 9 12 1 8 4 ,1728
SL-B B-2 PS-20 PR-20 SV-100 GI-0.4,3,4 1 5 12 8 9 7 2 11 6 3 10 ,1818,3 10 12 11 7 2 5 4 8 6 9 1 ,1728
SL-B B-2 PS-50 PR-16 SV-10 GI-0.5,1,6 2 5 8 7 3 12 11 10 1 9 4 ,1784,9 4 6 1 7 5 11 3 8 10 12 2 ,1728
SL-B B-2 PS-50 PR-16 SV-50 GI-0.3,2,8 2 7 1 6 12 5 11 3 9 4 10 ,1784,1 4 6 9 5 7 2 10 8 12 11 3 ,1728
SL-B B-16 PS-50 PR-16 SV-50 GI-0.3,2,8 1 2 6 7 4 11 5 3 12 10 9 ,1768,3 5 12 2 6 7 10 4 11 1 9 8 ,1728
SL-B B-16 PS-50 PR-16 SV-50 GI-0.5,3,3 6 12 2 11 9 7 8 10 5 4 1 ,1760,3 2 6 12 11 9 7 8 10 5 1 4 ,1728
SL-B B-16 PS-50 PR-25 SV-100 GI-0.3,3,5 3 11 10 12 7 2 6 8 9 4 1 ,1772,3 10 11 12 6 2 1 4 8 5 7 9 ,1728
SL-UT PS-10 PR-10 SV-50 GI-0.5,3,5 8 1 12 6 10 2 7 11 3 9 4 ,1810,8 1 12 6 5 10 2 7 3 11 4 9 ,1728
SL-UT PS-10 PR-10 SV-100 GI-0.4,3,11 7 6 10 12 5 1 4 2 9 8 3 ,1812,3 10 6 11 12 5 1 4 2 7 9 8 ,1728
SL-UT PS-20 PR-6 SV-50 GI-0.4,2,8 6 3 10 7 2 5 1 12 11 4 9 ,1776,3 12 11 7 2 6 5 4 10 1 9 8 ,1728
SL-UT PS-20 PR-10 SV-100 GI-0.3,2,3 1 12 10 5 2 7 9 8 4 11 6 ,1814,4 9 12 1 6 11 7 5 8 2 10 3 ,1728
SL-UT PS-20 PR-20 SV-10 GI-0.3,3,8 9 7 11 12 10 4 2 6 3 1 5 ,1830,3 6 2 11 10 5 7 8 12 1 4 9 ,1728
SL-UT PS-20 PR-20 SV-100 GI-0.4,2,8 10 2 12 7 3 11 9 5 1 6 4 ,1788,9 4 12 1 10 7 5 3 11 6 2 8 ,1728
SL-UTC PS-10 PR-3 SV-50 GI-0.5,3,9 10 5 4 1 3 11 12 8 7 6 2 ,1786,9 4 11 1 5 7 12 2 6 10 8 3 ,1728
SL-UTC PS-10 PR-3 SV-100 GI-0.3,3,8 5 11 9 10 3 6 4 12 2 7 1 ,1860,8 3 5 10 11 2 7 9 12 6 1 4 ,1728
SL-UTC PS-10 PR-10 SV-10 GI-0.4,2,1 8 12 7 4 2 10 6 11 5 3 9 ,1836,9 11 12 7 5 10 6 1 4 2 8 3 ,1728
SL-UTC PS-10 PR-10 SV-100 GI-0.5,3,9 7 11 1 10 12 5 8 4 2 3 6 ,1794,9 4 6 7 12 1 2 5 11 3 10 8 ,1728
SL-UTC PS-20 PR-6 SV-50 GI-0.3,2,8 5 3 12 2 10 7 6 1 4 11 9 ,1760,3 2 12 5 10 7 6 1 11 4 9 8 ,1728
SL-UTC PS-20 PR-20 SV-10 GI-0.4,2,9 7 3 11 10 1 12 2 8 6 5 4 ,1818,10 2 12 6 7 11 1 9 3 5 4 8 ,1728
SL-UTC PS-20 PR-20 SV-50 GI-0.3,2,4 3 9 7 2 6 5 10 1 12 8 11 ,1802,4 9 11 7 2 6 5 10 1 12 8 3 ,1728
SL-UTC PS-50 PR-25 SV-10 GI-0.5,2,9 1 8 11 7 10 5 2 4 6 12 3 ,1766,9 10 5 11 2 12 6 3 4 7 1 8 ,1728
SL-UTC PS-50 PR-50 SV-10 GI-0.3,2,11 3 8 2 12 1 5 7 10 6 9 4 ,1780,3 8 10 5 12 7 6 4 11 2 1 9 ,1728
SL-B B-2 PS-10 PR-3 SV-50 GI-0.5,2,3 11 7 12 2 4 10 1 5 9 6 8 ,1840,8 10 7 3 12 11 6 9 2 5 4 1 ,1730
SL-B B-10 PS-10 PR-10 SV-50 GI-0.5,3,7 11 12 2 9 6 1 5 4 8 10 3 ,1830,9 4 10 5 2 12 11 6 3 1 7 8 ,1730
SL-B B-4 PS-20 PR-6 SV-100 GI-0.5,2,3 12 2 4 5 11 9 10 1 6 7 8 ,1804,3 2 6 5 12 9 7 11 10 4 1 8 ,1730
SL-B B-6 PS-20 PR-10 SV-50 GI-0.4,1,4 1 9 3 12 7 6 2 8 11 5 10 ,1792,8 3 6 10 7 12 11 4 2 1 5 9 ,1730
SL-B B-6 PS-20 PR-10 SV-50 GI-0.4,3,3 1 7 11 5 6 9 10 8 12 2 4 ,1810,10 11 12 6 2 3 7 4 8 5 1 9 ,1730
SL-B B-2 PS-20 PR-20 SV-10 GI-0.3,1,8 11 1 12 9 6 5 2 4 10 7 3 ,1794,9 7 11 4 2 10 5 1 6 12 8 3 ,1730
SL-B B-13 PS-20 PR-20 SV-10 GI-0.3,1,4 9 7 1 6 10 8 12 11 2 5 3 ,1748,3 10 2 12 5 1 7 11 6 4 9 8 ,1730
SL-B B-13 PS-20 PR-20 SV-10 GI-0.3,2,2 3 6 10 12 5 11 9 7 8 1 4 ,1730,2 3 6 10 12 5 11 9 7 8 1 4 ,1730
SL-B B-2 PS-20 PR-20 SV-10 GI-0.4,2,5 1 7 3 12 6 2 8 11 10 9 4 ,1828,9 1 8 11 6 7 12 2 4 5 10 3 ,1730
SL-B B-20 PS-20 PR-20 SV-50 GI-0.3,1,2 12 5 4 6 11 3 1 10 7 8 9 ,1808,3 1 6 12 7 11 2 10 8 5 4 9 ,1730
SL-B B-2 PS-20 PR-20 SV-50 GI-0.4,3,8 12 3 11 1 5 6 9 7 2 10 4 ,1802,8 10 12 11 6 4 5 2 3 1 7 9 ,1730
SL-B B-2 PS-20 PR-20 SV-100 GI-0.5,1,9 2 3 6 11 10 5 1 7 12 8 4 ,1792,11 6 7 12 2 10 3 1 8 5 4 9 ,1730
SL-B B-2 PS-50 PR-25 SV-10 GI-0.3,3,7 2 6 5 10 1 11 8 3 12 4 9 ,1788,11 10 7 2 12 6 5 3 8 1 4 9 ,1730
SL-B B-25 PS-50 PR-25 SV-50 GI-0.4,2,2 9 7 6 5 12 1 8 4 11 10 3 ,1770,9 7 6 2 5 12 1 8 4 11 10 3 ,1730
SL-B B-2 PS-50 PR-50 SV-50 GI-0.3,1,11 10 8 6 12 7 5 1 2 4 3 9 ,1800,4 1 9 12 11 6 2 10 5 7 8 3 ,1730
