Configuration;Iteration;The initial way;Its distance;The best way after algorithm;Its distance
SL-B66 PR-100 GI-0.5;4;1 28 13 25 8 10 7 18 23 27 26 24 14 17 15 16 5 12 20 6 3 30 9 21 2 29 4 19 11 22 ;2.21659e+06;2 28 13 25 23 10 7 18 12 6 16 24 17 14 19 26 5 15 20 8 3 30 9 21 1 29 4 27 11 22 ;1.99761e+06
SL-B66 PR-100 GI-0.5;5;4 14 6 1 7 2 5 17 9 18 26 24 25 3 27 13 15 21 30 19 29 16 11 20 23 12 28 22 10 8 ;2.20874e+06;1 14 6 4 7 2 13 17 9 18 27 24 25 3 26 16 8 21 5 19 29 23 11 20 15 12 28 30 22 10 ;1.99917e+06
SL-B100 PR-100 GI-0.5;1;7 14 17 20 26 15 16 28 21 11 1 18 30 25 19 12 29 13 22 9 3 2 8 24 23 27 4 5 6 10 ;2.24173e+06;11 14 17 19 26 16 15 28 21 13 1 22 30 27 20 12 29 6 18 9 23 2 8 24 3 10 4 5 7 25 ;2.02384e+06
SL-B100 PR-100 GI-0.5;2;7 24 23 28 6 14 25 11 10 8 2 3 9 15 20 5 4 1 12 18 30 21 22 13 16 27 17 29 19 26 ;2.18721e+06;26 24 23 28 6 13 25 4 17 15 2 3 9 21 8 5 10 1 14 18 30 11 22 12 16 27 20 29 19 7 ;2.00702e+06
SL-B100 PR-100 GI-0.5;3;16 2 21 1 26 8 30 29 25 12 4 20 13 22 17 11 18 28 6 14 10 15 5 23 27 7 24 3 19 9 ;2.16181e+06;16 2 24 12 26 8 30 19 25 13 4 1 21 22 5 11 18 28 6 20 10 15 17 23 27 7 9 3 29 14 ;2.0166e+06
SL-B100 PR-100 GI-0.5;4;13 9 5 2 24 11 25 19 18 1 17 12 15 8 21 26 28 14 16 7 29 27 20 4 23 30 6 3 10 22 ;2.2398e+06;25 26 5 2 24 11 13 19 15 1 23 12 3 8 21 16 20 14 17 18 29 7 28 4 9 30 6 27 10 22 ;2.0027e+06
SL-B100 PR-100 GI-0.5;5;19 24 8 27 25 12 2 16 18 22 29 28 6 1 15 30 17 9 20 7 5 13 23 11 26 14 10 21 3 4 ;2.2187e+06;1 24 21 27 25 12 2 16 18 22 29 28 8 15 3 30 26 11 10 7 5 13 23 9 17 14 20 6 19 4 ;1.98937e+06
SL-UT PR-33 GI-0.1;1;9 29 23 25 12 8 7 2 18 14 30 15 26 19 24 28 17 21 20 4 27 5 16 6 3 1 22 11 10 13 ;2.22033e+06;9 29 25 23 18 3 15 22 6 4 10 28 26 19 16 5 17 20 11 14 24 30 27 7 8 1 12 21 2 13 ;1.90497e+06
SL-UT PR-33 GI-0.1;2;23 13 14 2 21 16 12 22 30 5 27 7 8 4 15 1 11 17 10 19 24 29 28 25 6 20 18 26 9 3 ;2.20651e+06;19 18 14 12 21 25 5 8 30 13 27 22 16 10 15 7 11 17 1 23 20 29 28 24 6 2 4 26 9 3 ;1.91049e+06
SL-UT PR-33 GI-0.1;3;25 3 14 9 27 19 18 29 2 23 13 15 22 26 5 17 7 28 16 1 4 12 20 11 8 6 21 30 10 24 ;2.2303e+06;7 3 2 9 25 6 4 14 28 18 27 15 22 26 5 17 10 23 12 13 11 1 29 8 24 16 21 30 19 20 ;1.90395e+06
SL-UT PR-33 GI-0.1;4;1 4 12 25 17 19 27 9 20 21 14 26 10 30 6 23 18 11 28 2 5 7 22 8 16 13 29 3 15 24 ;2.21716e+06;1 10 24 25 30 7 5 29 17 22 18 13 4 11 6 23 20 15 28 2 27 19 3 8 26 16 9 12 14 21 ;1.92017e+06
SL-UT PR-33 GI-0.1;5;20 30 13 9 2 28 19 6 12 14 17 3 26 1 29 11 15 23 24 21 16 22 7 4 27 25 18 8 10 5 ;2.17867e+06;20 25 14 9 22 7 19 6 24 18 12 5 17 4 21 11 15 8 27 10 16 13 28 3 26 29 1 23 30 2 ;1.9003e+06
SL-UT PR-33 GI-0.2;1;15 5 11 16 18 30 23 6 20 1 9 26 24 7 19 12 17 14 25 21 29 10 27 2 3 8 4 22 28 13 ;2.22449e+06;23 8 26 16 6 30 15 10 25 1 13 5 7 27 19 12 3 9 20 18 29 21 17 2 24 11 4 22 28 14 ;1.95678e+06
SL-UT PR-33 GI-0.2;2;29 25 20 1 14 22 27 17 18 12 9 30 26 5 10 23 4 2 13 11 16 28 8 19 21 24 15 7 3 6 ;2.22616e+06;29 17 7 1 22 14 9 21 8 25 20 30 26 6 10 23 4 19 13 11 18 28 12 2 5 24 15 27 3 16 ;1.9512e+06
SL-UT PR-33 GI-0.2;3;25 24 7 26 14 2 19 15 18 16 30 13 11 10 20 21 23 6 8 22 1 29 28 17 12 5 3 9 27 4 ;2.20557e+06;20 8 18 26 14 19 25 15 10 16 27 23 29 24 22 21 13 6 3 4 1 11 5 17 30 2 7 9 28 12 ;1.91945e+06
SL-UT PR-33 GI-0.2;4;3 29 7 9 27 2 14 13 19 8 11 28 1 30 15 25 10 22 21 5 16 24 26 23 20 6 18 17 12 4 ;2.19876e+06;4 12 23 6 11 2 14 26 28 8 27 30 1 20 15 25 10 3 7 5 9 24 22 21 29 19 18 17 16 13 ;1.93476e+06
SL-UT PR-33 GI-0.2;5;4 26 17 5 14 7 25 20 29 13 30 22 2 27 9 24 21 16 19 10 18 23 12 28 1 6 11 8 3 15 ;2.11492e+06;22 26 19 5 20 7 12 18 30 13 8 25 2 27 9 24 15 16 17 21 29 10 11 28 1 6 23 3 4 14 ;1.92253e+06
SL-UT PR-33 GI-0.3;1;6 4 28 22 2 21 9 1 30 25 18 11 14 7 26 24 27 3 29 23 15 20 17 16 13 19 12 8 10 5 ;2.20856e+06;6 20 30 4 5 21 7 15 28 2 18 22 14 16 26 10 23 3 29 27 1 8 17 9 13 25 19 11 24 12 ;1.92971e+06
SL-UT PR-33 GI-0.3;2;7 14 5 18 16 13 11 21 6 30 23 1 12 28 25 17 29 19 24 20 15 3 22 9 10 4 2 8 27 26 ;2.2204e+06;7 8 13 18 16 2 28 15 6 30 23 25 3 14 20 24 29 10 17 1 5 22 27 9 19 4 21 26 11 12 ;1.95128e+06
SL-UT PR-33 GI-0.3;3;29 13 24 6 7 2 15 11 23 27 19 3 5 25 28 1 4 26 9 17 30 22 8 10 20 14 12 21 18 16 ;2.16432e+06;29 12 17 6 7 2 3 11 23 27 10 4 19 18 22 1 20 26 13 24 30 28 8 15 9 14 5 21 25 16 ;1.94689e+06
SL-UT PR-33 GI-0.3;4;12 6 14 27 23 5 2 30 10 11 21 22 26 8 17 20 7 18 1 9 28 25 16 19 29 3 15 4 13 24 ;2.24883e+06;12 26 6 1 29 5 2 3 22 11 20 15 14 30 17 28 24 18 9 23 21 25 7 19 27 8 10 4 13 16 ;1.92854e+06
SL-UT PR-33 GI-0.3;5;19 21 27 23 14 16 18 30 9 2 25 11 8 5 3 17 12 4 7 13 24 29 6 22 28 1 26 15 10 20 ;2.22539e+06;19 29 21 5 14 16 23 30 25 2 17 1 8 3 18 9 27 6 12 13 28 20 10 22 24 11 26 15 4 7 ;1.93384e+06
SL-UT PR-33 GI-0.5;1;7 1 23 24 12 4 25 6 2 14 28 29 22 17 19 15 20 13 11 18 3 30 27 26 5 10 9 16 8 21 ;2.20644e+06;3 28 23 24 12 4 17 26 2 14 13 29 18 10 19 15 20 1 27 22 11 30 7 5 9 25 6 16 8 21 ;1.98134e+06
SL-UT PR-33 GI-0.5;2;29 3 30 6 9 2 16 15 25 26 13 18 11 27 4 14 7 20 28 22 19 5 10 21 8 12 1 24 23 17 ;2.17294e+06;29 18 6 30 15 19 16 11 25 26 22 23 27 1 8 14 7 20 21 28 13 5 10 9 4 2 12 24 3 17 ;1.92778e+06
SL-UT PR-33 GI-0.5;3;4 28 10 22 26 9 14 1 8 3 18 11 2 27 29 13 21 20 12 19 7 30 16 15 25 6 24 5 17 23 ;2.13354e+06;2 28 10 22 26 5 20 1 13 29 14 4 9 23 11 3 21 18 24 19 15 30 16 7 8 6 25 27 17 12 ;1.93424e+06
SL-UT PR-33 GI-0.5;4;18 27 21 17 15 1 13 29 12 10 9 4 25 30 5 26 6 22 16 24 8 7 14 23 19 20 3 28 2 11 ;2.29743e+06;23 27 11 17 15 18 28 14 12 16 29 4 25 26 3 20 6 22 10 8 7 2 9 1 19 24 5 13 21 30 ;1.97423e+06
SL-UT PR-33 GI-0.5;5;27 18 15 3 17 21 29 14 7 8 25 9 11 19 13 1 4 20 23 6 26 24 16 22 5 30 2 10 28 12 ;2.20625e+06;1 13 16 20 28 21 29 14 7 8 6 17 4 19 18 10 22 3 11 25 26 24 15 23 5 30 2 27 9 12 ;1.97378e+06
SL-UT PR-50 GI-0.1;1;15 25 16 14 8 11 19 4 22 21 23 9 17 26 13 6 5 12 29 10 27 7 20 28 3 24 2 30 1 18 ;2.19763e+06;26 25 1 19 8 23 14 4 13 11 24 9 12 7 21 6 5 29 27 10 22 20 15 28 3 17 2 30 16 18 ;1.96656e+06
SL-UT PR-50 GI-0.1;2;2 16 1 15 8 29 10 21 18 9 24 5 3 25 6 14 19 28 7 12 20 26 23 11 30 13 22 27 4 17 ;2.16708e+06;6 29 4 26 8 25 22 1 18 24 9 5 2 14 11 16 3 21 7 12 20 27 23 17 30 13 10 15 28 19 ;1.9331e+06
SL-UT PR-50 GI-0.1;3;23 4 21 15 18 10 6 26 19 30 13 28 1 29 12 2 27 20 9 8 25 7 14 17 22 11 16 5 3 24 ;2.15089e+06;10 20 21 15 18 23 19 26 6 30 12 7 24 29 13 28 27 1 25 8 17 3 14 9 22 11 4 16 2 5 ;1.92858e+06
SL-UT PR-50 GI-0.1;4;23 28 10 18 25 9 26 1 21 3 4 14 11 24 20 15 8 22 12 17 30 13 7 16 29 2 6 19 5 27 ;2.19029e+06;28 23 25 18 17 9 26 1 4 29 21 14 12 24 13 22 3 8 16 6 30 20 27 2 15 11 10 19 5 7 ;1.93964e+06
SL-UT PR-50 GI-0.1;5;14 15 21 6 17 7 18 4 2 16 5 29 12 28 1 19 9 10 24 8 3 30 27 22 11 20 13 23 25 26 ;2.15578e+06;26 15 4 6 30 5 18 1 23 9 13 7 12 28 22 16 20 10 17 29 3 21 27 19 11 8 14 24 25 2 ;1.91429e+06
SL-UT PR-50 GI-0.2;1;24 16 2 28 14 22 8 19 4 15 20 11 26 21 30 18 7 5 29 3 6 1 12 13 17 10 27 9 25 23 ;2.21291e+06;22 16 10 24 23 14 8 19 7 30 21 11 15 2 26 18 4 1 29 3 27 5 20 9 17 28 6 13 25 12 ;1.94613e+06
SL-UT PR-50 GI-0.2;2;17 19 8 30 3 6 9 1 12 23 29 4 15 5 18 16 10 25 20 28 27 2 24 26 14 13 21 7 22 11 ;2.19801e+06;17 21 25 3 30 6 5 11 9 22 29 4 15 1 18 23 10 8 20 28 27 2 19 26 14 13 12 7 16 24 ;1.95006e+06
SL-UT PR-50 GI-0.2;3;23 5 9 6 27 16 8 24 3 13 30 17 25 7 28 1 29 19 4 20 21 2 15 22 10 26 12 18 11 14 ;2.16061e+06;11 5 9 6 4 16 8 30 3 13 20 17 22 2 14 25 19 26 27 1 21 15 10 7 28 24 12 18 23 29 ;1.91444e+06
SL-UT PR-50 GI-0.2;4;1 23 10 21 27 18 16 28 30 20 25 22 29 15 26 17 3 19 14 24 11 2 7 12 5 9 6 13 4 8 ;2.17658e+06;15 18 1 16 29 22 12 28 30 5 25 8 27 10 26 3 9 6 14 24 11 2 19 21 20 13 7 23 4 17 ;1.94521e+06
SL-UT PR-50 GI-0.2;5;21 6 8 27 1 5 13 30 25 14 7 4 12 24 29 15 22 16 2 20 10 11 26 28 18 3 17 9 19 23 ;2.21677e+06;4 6 8 1 14 29 13 30 25 22 17 7 12 24 3 2 9 20 21 28 10 11 27 26 18 5 16 15 19 23 ;1.92713e+06
SL-UT PR-50 GI-0.3;1;30 4 24 9 13 17 28 5 14 27 11 10 12 22 25 2 8 16 6 23 19 1 21 20 3 15 7 18 26 29 ;2.21131e+06;20 4 28 14 26 17 8 5 9 10 11 29 13 7 25 2 24 16 1 23 19 6 21 12 3 15 22 18 30 27 ;1.97199e+06
SL-UT PR-50 GI-0.3;2;23 29 18 7 12 8 16 1 24 10 14 27 20 4 6 2 19 26 17 28 21 5 30 11 25 13 3 9 22 15 ;2.27751e+06;27 29 18 3 12 8 16 9 4 28 7 23 14 5 6 30 19 26 17 25 21 22 2 11 10 20 24 1 15 13 ;1.9628e+06
SL-UT PR-50 GI-0.3;3;23 18 11 17 10 29 15 6 25 24 22 1 8 16 26 9 27 12 5 4 19 21 2 14 30 20 13 7 28 3 ;2.19833e+06;10 24 11 17 23 4 15 28 25 18 22 1 8 16 26 29 21 12 5 20 9 27 2 14 13 19 7 30 6 3 ;1.98619e+06
SL-UT PR-50 GI-0.3;4;23 6 13 5 14 7 12 9 1 22 29 25 15 17 18 26 20 28 21 27 2 30 4 11 10 19 8 16 24 3 ;2.1542e+06;2 6 16 23 5 17 12 9 28 22 29 7 11 14 25 26 3 1 20 19 18 30 4 15 10 27 8 13 24 21 ;1.92641e+06
SL-UT PR-50 GI-0.3;5;19 17 5 29 22 8 20 16 12 1 10 9 27 11 23 3 25 26 15 2 4 7 28 30 14 6 21 13 24 18 ;2.20088e+06;19 17 21 25 22 27 5 16 12 28 29 9 15 24 4 13 14 26 8 2 23 7 1 30 10 6 11 20 3 18 ;1.963e+06
SL-UT PR-50 GI-0.5;1;11 30 21 7 20 26 24 3 5 4 1 16 13 17 23 27 14 9 8 19 22 25 18 10 28 12 15 6 29 2 ;2.2259e+06;21 20 11 19 30 26 24 3 9 22 1 16 13 17 23 27 8 5 14 7 10 25 12 6 18 28 15 4 29 2 ;1.96555e+06
SL-UT PR-50 GI-0.5;2;21 22 20 12 24 8 13 1 27 11 6 4 19 5 28 10 14 3 30 16 29 23 15 18 26 25 9 2 17 7 ;2.29013e+06;21 20 22 12 4 26 13 1 19 8 6 7 30 5 27 23 14 3 10 17 16 28 15 25 11 18 9 2 29 24 ;1.97511e+06
SL-UT PR-50 GI-0.5;3;22 4 2 16 8 13 19 12 26 17 11 29 27 25 30 7 21 24 14 9 20 6 23 10 15 3 5 28 18 1 ;2.20286e+06;13 24 12 23 22 8 2 27 26 19 11 29 4 25 30 7 21 17 14 9 20 6 10 16 15 1 5 28 18 3 ;1.97806e+06
SL-UT PR-50 GI-0.5;4;9 10 29 8 30 24 22 17 7 4 15 27 14 3 25 19 28 16 12 18 13 23 11 5 26 20 2 21 6 1 ;2.1672e+06;9 10 19 6 30 28 1 17 7 4 15 12 14 18 8 29 24 16 27 3 13 23 21 5 26 20 22 11 25 2 ;1.96855e+06
SL-UT PR-50 GI-0.5;5;8 16 7 24 13 25 28 27 10 4 14 6 5 9 22 21 18 26 30 17 11 29 23 15 1 3 12 2 19 20 ;2.23333e+06;17 8 5 24 30 25 26 27 23 4 14 6 7 9 2 22 18 10 20 28 11 29 12 15 1 3 16 21 19 13 ;1.96002e+06
SL-UT PR-100 GI-0.1;1;6 7 8 19 4 21 2 30 27 28 23 1 9 25 29 16 10 13 17 11 24 5 18 20 22 26 3 15 12 14 ;2.21086e+06;2 6 26 19 30 14 7 13 27 28 23 17 9 21 8 5 4 10 1 18 12 16 11 20 24 29 3 22 25 15 ;1.92428e+06
SL-UT PR-100 GI-0.1;2;30 10 22 23 27 24 16 29 6 20 18 4 9 2 8 13 14 11 17 3 26 5 21 1 12 25 28 7 19 15 ;2.2342e+06;15 10 13 26 30 24 11 29 23 20 18 2 1 4 8 12 9 27 7 3 6 5 21 16 19 22 14 28 25 17 ;1.92711e+06
SL-UT PR-100 GI-0.1;3;12 13 2 3 15 26 8 1 27 9 18 20 10 21 25 29 30 7 28 14 4 23 17 24 5 22 19 11 16 6 ;2.21153e+06;21 13 6 3 30 4 20 8 11 10 15 25 9 27 12 29 23 7 5 14 2 18 17 24 1 22 19 28 16 26 ;1.89853e+06
SL-UT PR-100 GI-0.1;4;4 10 25 1 11 18 5 6 15 23 2 13 24 9 21 22 19 27 8 20 28 30 17 14 26 12 16 29 3 7 ;2.16684e+06;3 10 19 1 6 18 5 15 9 22 29 13 4 11 21 2 24 27 8 20 28 30 17 14 26 12 16 7 25 23 ;1.93401e+06
SL-UT PR-100 GI-0.1;5;21 22 17 28 13 29 27 11 19 26 16 25 8 30 24 6 3 9 7 15 18 5 2 1 12 14 20 10 4 23 ;2.21947e+06;21 23 2 30 16 11 4 3 27 20 13 25 6 18 24 12 29 9 7 10 28 5 17 8 1 14 26 15 19 22 ;1.8996e+06
SL-UT PR-100 GI-0.2;1;4 1 19 22 16 6 8 30 11 29 13 15 18 21 24 12 27 17 10 14 23 9 25 28 3 7 2 5 26 20 ;2.13277e+06;30 20 19 22 16 23 4 25 28 29 11 3 18 1 14 12 27 17 10 24 2 21 9 6 15 7 8 5 26 13 ;1.93438e+06
SL-UT PR-100 GI-0.2;2;10 6 23 17 29 19 22 12 28 26 3 8 1 30 2 16 13 24 15 27 5 21 14 11 20 9 25 7 18 4 ;2.21381e+06;14 8 23 7 29 19 22 28 21 26 3 30 1 27 2 12 15 20 13 6 24 10 16 9 5 11 25 17 4 18 ;1.94427e+06
SL-UT PR-100 GI-0.2;3;4 18 7 23 3 19 30 21 15 6 5 10 12 26 16 9 22 29 27 11 14 28 2 13 25 24 20 1 17 8 ;2.20809e+06;4 1 7 17 3 19 30 21 23 12 28 10 2 15 16 9 22 27 20 14 5 11 6 18 25 24 29 13 26 8 ;1.9449e+06
SL-UT PR-100 GI-0.2;4;19 16 27 10 29 2 28 11 13 18 23 20 7 25 8 12 22 17 21 24 3 9 6 4 1 14 30 15 5 26 ;2.17816e+06;18 2 23 14 7 24 20 22 5 9 27 25 29 12 8 21 11 17 28 16 26 19 6 4 1 10 30 15 13 3 ;1.94205e+06
SL-UT PR-100 GI-0.2;5;2 3 7 14 28 25 10 26 17 1 30 21 15 12 29 6 5 24 27 18 16 4 20 8 19 23 13 22 9 11 ;2.17945e+06;10 3 26 8 28 25 2 17 1 16 27 5 19 20 29 6 23 24 30 18 12 4 7 14 15 21 13 22 9 11 ;1.91996e+06
SL-UT PR-100 GI-0.3;1;11 6 28 17 13 4 2 26 23 9 24 8 30 10 22 7 3 12 15 1 18 5 16 25 21 20 27 19 29 14 ;2.21485e+06;20 26 24 17 30 13 2 29 27 9 28 8 16 10 22 25 7 14 3 1 18 5 6 15 19 11 23 21 4 12 ;1.94391e+06
SL-UT PR-100 GI-0.3;2;15 10 27 16 4 28 9 22 13 5 7 23 18 17 29 24 6 1 25 3 19 11 8 2 26 21 12 20 14 30 ;2.15914e+06;8 27 15 16 4 28 12 22 30 5 10 23 18 17 7 25 6 1 24 13 19 11 29 2 26 3 9 20 14 21 ;1.95331e+06
SL-UT PR-100 GI-0.3;3;7 21 15 8 28 27 3 20 16 13 22 19 25 30 12 18 10 9 5 26 29 1 17 6 4 2 11 24 23 14 ;2.22076e+06;7 21 15 26 28 25 27 23 16 14 4 19 30 3 12 1 10 9 5 20 29 18 17 6 22 2 11 24 8 13 ;1.98305e+06
SL-UT PR-100 GI-0.3;4;8 29 25 6 13 7 5 17 21 11 3 16 9 22 27 12 2 18 24 23 4 28 20 10 14 26 1 30 19 15 ;2.18387e+06;29 8 26 6 30 5 23 25 22 11 3 16 9 21 27 12 17 18 14 2 4 7 20 10 24 28 1 13 19 15 ;1.95237e+06
SL-UT PR-100 GI-0.3;5;6 14 24 18 10 25 16 3 28 26 30 1 21 8 11 19 13 27 20 15 29 5 4 12 22 23 17 9 7 2 ;2.22123e+06;6 21 24 8 22 25 11 15 28 26 29 14 1 18 27 19 9 23 17 3 30 5 4 12 10 16 20 13 7 2 ;1.94252e+06
SL-UT PR-100 GI-0.5;1;19 17 21 6 8 3 18 12 9 24 25 28 30 10 15 5 11 14 23 1 29 4 13 20 16 26 22 2 7 27 ;2.18969e+06;28 17 21 3 8 6 9 12 22 25 29 19 30 10 15 7 11 24 23 1 18 4 13 16 20 26 14 27 5 2 ;1.98408e+06
SL-UT PR-100 GI-0.5;2;26 15 6 5 14 28 11 16 1 23 27 12 20 29 7 8 18 2 3 30 25 21 10 4 24 9 19 22 13 17 ;2.18144e+06;27 15 11 5 14 28 24 21 1 23 26 7 20 25 12 8 18 2 17 16 29 30 10 22 6 9 19 4 13 3 ;1.98555e+06
SL-UT PR-100 GI-0.5;3;4 11 25 9 14 20 27 19 26 3 8 5 12 30 18 29 17 28 24 13 2 10 21 16 7 23 1 22 6 15 ;2.1697e+06;4 28 25 5 14 2 27 19 26 9 3 8 12 20 17 30 18 7 24 13 11 1 21 16 29 23 10 22 6 15 ;1.98398e+06
SL-UT PR-100 GI-0.5;4;6 22 17 18 2 15 9 14 5 13 24 1 16 10 4 21 27 12 20 19 25 26 8 30 3 11 28 29 7 23 ;2.13821e+06;10 22 17 18 2 15 6 14 5 13 8 11 21 1 9 16 27 12 20 25 30 26 24 19 3 23 28 29 7 4 ;1.95779e+06
SL-UT PR-100 GI-0.5;5;21 14 9 25 27 19 12 30 18 6 3 16 28 8 24 10 20 2 7 5 11 4 15 26 23 22 29 13 1 17 ;2.16833e+06;30 14 8 6 4 19 22 21 12 11 3 16 1 9 24 23 20 2 7 5 10 27 15 18 25 28 29 13 26 17 ;1.97539e+06
SL-UT-C PR-33;1;25 17 21 4 27 5 6 2 28 3 18 9 12 15 13 7 11 10 1 8 23 16 20 26 14 22 30 19 29 24 ;2.21867e+06;28 7 21 4 15 5 6 12 23 24 18 2 9 27 26 17 3 10 8 22 25 29 20 19 1 16 30 11 14 13 ;1.92378e+06
SL-UT-C PR-33;2;30 12 11 1 17 2 10 7 26 4 18 13 28 21 19 8 16 22 5 3 6 29 23 25 24 20 15 9 14 27 ;2.20813e+06;23 28 20 1 5 30 8 21 26 4 18 13 29 7 19 12 16 27 10 3 6 2 17 25 9 24 15 11 14 22 ;1.93649e+06
SL-UT-C PR-33;3;19 18 3 9 2 16 5 7 24 26 11 25 8 12 13 27 20 21 29 22 6 14 10 15 1 17 23 28 4 30 ;2.15584e+06;12 18 1 9 25 16 11 7 24 26 10 5 8 22 13 19 21 20 29 2 23 14 17 15 3 6 28 27 4 30 ;1.94307e+06
SL-UT-C PR-33;4;1 12 22 25 10 13 2 24 8 17 16 23 6 19 5 11 28 20 3 14 15 21 26 27 4 9 30 18 7 29 ;2.20662e+06;1 8 22 11 10 17 12 26 7 13 15 6 16 4 27 25 28 20 18 14 24 21 23 3 19 9 30 5 2 29 ;1.96047e+06
SL-UT-C PR-33;5;26 6 19 7 13 1 22 15 2 11 28 4 9 21 20 16 10 5 3 25 14 29 23 24 8 30 27 17 18 12 ;2.19292e+06;26 1 23 15 13 25 5 2 21 19 27 4 9 6 20 16 18 10 3 30 11 7 14 24 8 28 22 17 29 12 ;1.92362e+06
SL-UT-C PR-50;1;26 27 20 24 21 15 25 16 17 23 12 8 13 10 1 3 30 18 28 6 14 22 7 11 2 9 19 29 4 5 ;2.2359e+06;19 24 25 22 21 2 20 14 6 1 12 8 9 26 23 3 15 18 28 16 17 10 7 27 11 13 30 29 4 5 ;1.96171e+06
SL-UT-C PR-50;2;25 7 21 26 16 8 29 14 6 4 18 3 23 11 13 24 12 28 1 9 22 17 20 27 15 19 10 30 2 5 ;2.23289e+06;12 29 25 26 16 4 28 19 6 13 10 3 23 2 7 30 8 21 18 9 22 17 20 27 15 5 1 24 11 14 ;1.90962e+06
SL-UT-C PR-50;3;16 2 1 25 24 19 20 11 13 30 6 8 27 3 10 4 29 21 9 22 28 7 18 12 5 14 23 15 17 26 ;2.18983e+06;9 6 28 25 24 19 10 11 13 20 27 8 30 3 2 4 29 21 16 23 1 17 18 12 5 14 22 15 7 26 ;1.97215e+06
SL-UT-C PR-50;4;18 14 30 20 2 29 16 1 27 8 7 10 13 5 25 15 22 3 9 17 11 28 12 4 24 26 23 21 6 19 ;2.24518e+06;12 21 30 14 2 29 11 1 27 8 6 10 13 5 4 15 7 24 19 17 16 28 18 25 3 22 23 20 26 9 ;1.99602e+06
SL-UT-C PR-50;5;12 5 18 30 20 8 26 3 4 10 24 2 7 6 17 14 28 27 25 11 29 13 21 23 9 1 15 19 16 22 ;2.19956e+06;12 26 18 29 25 9 23 3 11 10 21 2 7 20 17 1 28 27 4 6 30 13 24 8 5 14 15 19 16 22 ;1.96827e+06
SL-UT-C PR-100;1;17 5 24 11 13 6 10 29 25 14 2 26 28 20 18 8 22 7 12 9 21 23 16 3 27 19 1 30 4 15 ;2.09677e+06;19 13 11 24 23 6 20 29 1 14 10 30 28 2 18 27 22 7 12 21 9 5 16 3 8 17 25 26 4 15 ;1.9639e+06
SL-UT-C PR-100;2;25 3 21 19 22 27 12 4 10 16 6 29 28 15 18 17 13 7 1 24 11 5 14 26 20 23 2 9 8 30 ;2.20459e+06;25 24 21 2 13 28 23 4 10 16 6 1 12 15 18 17 22 27 29 3 5 20 14 26 11 7 19 9 8 30 ;1.97774e+06
SL-UT-C PR-100;3;1 7 11 22 16 2 12 6 19 13 8 27 17 20 26 24 10 3 18 15 29 28 30 21 14 5 23 4 25 9 ;2.13615e+06;18 10 12 22 16 2 6 11 28 13 8 27 17 20 15 24 7 1 3 4 29 30 19 21 14 5 23 26 25 9 ;1.95242e+06
SL-UT-C PR-100;4;14 7 10 9 25 24 3 21 20 18 27 28 23 6 15 16 8 22 17 1 30 5 29 13 19 2 4 12 26 11 ;2.24462e+06;8 17 10 9 23 22 3 6 19 25 27 4 12 24 18 30 14 21 29 1 16 5 15 13 20 2 28 7 26 11 ;1.98605e+06
SL-UT-C PR-100;5;7 25 11 6 18 13 14 9 10 22 4 16 28 21 29 12 5 15 24 1 8 2 3 20 26 17 27 23 19 30 ;2.2665e+06;7 25 26 10 4 28 14 8 6 22 12 16 27 21 29 11 5 15 24 1 23 2 3 20 17 18 13 9 19 30 ;2e+06
SL-R PR-33 GI-0.1;1;12 7 13 28 25 29 17 14 30 15 2 16 5 10 19 18 21 22 3 20 8 4 1 6 24 9 23 26 27 11 ;2.1621e+06;12 27 2 28 30 19 13 14 25 11 3 16 9 10 7 1 21 20 22 29 17 23 18 6 24 26 4 5 8 15 ;1.93376e+06
SL-R PR-33 GI-0.1;2;30 9 26 2 27 17 5 23 18 20 24 7 28 25 11 8 22 13 12 19 15 4 21 3 16 1 14 29 6 10 ;2.17698e+06;30 1 15 2 4 17 18 23 5 25 24 7 28 13 11 8 27 20 22 19 26 12 21 3 16 9 14 29 6 10 ;1.99919e+06
SL-R PR-33 GI-0.1;3;16 24 5 26 4 30 25 21 9 27 11 17 19 8 1 2 3 13 6 20 29 28 23 7 15 18 22 14 12 10 ;2.19027e+06;29 1 9 6 13 21 12 30 23 7 11 17 10 8 4 2 27 19 22 26 15 28 18 3 20 24 5 14 25 16 ;1.93429e+06
SL-R PR-33 GI-0.1;4;15 12 4 25 24 10 28 16 18 7 20 23 26 8 11 13 5 30 19 1 27 29 22 3 6 17 2 21 14 9 ;2.23747e+06;16 28 2 10 7 11 12 8 30 15 3 23 1 13 21 25 5 18 20 29 27 14 22 19 6 17 26 24 4 9 ;1.9489e+06
SL-R PR-33 GI-0.1;5;11 21 8 30 28 15 29 5 14 26 17 2 12 10 7 24 13 9 1 4 19 25 18 23 16 27 3 20 6 22 ;2.19005e+06;29 21 25 30 28 15 8 6 14 26 4 22 12 10 5 9 3 24 18 13 11 17 19 23 27 16 1 20 7 2 ;1.98429e+06
SL-R PR-33 GI-0.2;1;13 27 18 19 14 22 6 7 5 30 12 23 2 8 20 11 24 9 3 29 25 16 26 4 1 17 28 15 21 10 ;2.19892e+06;14 10 2 27 16 22 6 7 21 30 11 23 28 3 20 18 24 17 12 29 5 19 26 8 4 9 13 15 25 1 ;1.93612e+06
