Configuration;Iteration;The initial way;Its distance;The best way after algorithm;Its distance
SL-B2 PR-33 GI-0.3;4;10 8 2 14 9 26 23 11 22 17 27 12 20 1 18 6 21 4 30 19 13 3 5 28 7 25 29 15 16 24 ;2.26607e+06;10 8 2 23 22 19 4 18 30 16 27 12 20 25 3 6 21 14 15 26 7 17 29 28 9 1 5 13 24 11 ;1.92479e+06
SL-B2 PR-33 GI-0.3;5;3 16 17 23 24 9 12 6 4 11 15 7 19 18 2 8 29 22 30 26 27 10 5 21 25 20 13 28 14 1 ;2.19847e+06;28 16 21 23 22 9 8 14 4 7 15 27 19 18 11 30 29 24 17 2 12 10 20 5 25 26 13 3 6 1 ;1.9606e+06
SL-B22 PR-33 GI-0.3;1;3 19 13 9 25 4 6 16 14 22 15 29 10 1 21 28 5 30 23 12 20 24 11 27 8 7 26 17 2 18 ;2.22444e+06;30 19 2 9 25 4 8 26 12 3 15 29 10 20 17 28 5 14 23 16 6 24 11 27 22 7 1 21 13 18 ;1.97669e+06
SL-B22 PR-33 GI-0.3;2;27 25 12 23 14 6 26 1 21 8 17 3 16 22 4 10 15 2 20 7 30 9 5 13 18 19 28 11 29 24 ;2.14789e+06;22 16 24 13 14 6 25 1 21 19 2 3 15 8 27 10 17 26 20 11 30 9 4 23 18 5 28 7 29 12 ;1.9366e+06
SL-B22 PR-33 GI-0.3;3;25 24 2 27 22 13 1 8 6 5 11 14 10 29 30 23 26 18 12 21 9 16 4 15 19 3 28 17 7 20 ;2.19243e+06;22 24 3 27 30 6 2 28 13 5 29 14 10 12 8 23 26 20 17 21 25 16 9 4 19 11 15 1 7 18 ;1.95483e+06
SL-B22 PR-33 GI-0.3;4;30 6 24 17 21 4 10 18 25 5 1 12 11 22 7 8 2 14 26 20 28 16 3 27 29 15 19 13 23 9 ;2.14512e+06;17 6 13 16 5 4 10 18 25 7 1 12 29 19 21 8 2 14 26 20 28 3 30 27 11 9 22 24 23 15 ;1.96727e+06
SL-B22 PR-33 GI-0.3;5;20 27 11 25 5 10 8 14 29 17 24 6 7 4 3 30 23 12 26 13 2 21 16 28 1 22 18 19 15 9 ;2.19056e+06;13 20 4 23 25 5 3 14 29 17 11 7 10 24 8 26 30 12 6 27 2 28 16 21 1 22 18 19 15 9 ;1.98834e+06
SL-B33 PR-33 GI-0.3;1;17 30 16 12 7 24 21 23 15 11 25 28 22 2 19 9 1 18 10 14 4 8 13 26 20 29 27 5 3 6 ;2.18228e+06;17 30 16 12 7 24 25 10 6 11 21 22 23 2 19 9 1 18 28 26 15 8 13 14 3 29 5 20 4 27 ;1.9976e+06
SL-B33 PR-33 GI-0.3;2;14 15 30 11 21 13 24 16 12 10 22 25 6 27 19 18 9 8 4 23 28 2 20 17 3 29 7 1 5 26 ;2.18676e+06;14 18 30 7 2 13 4 1 12 10 20 25 6 27 11 15 29 8 9 23 28 21 16 17 3 22 19 24 5 26 ;1.94548e+06
SL-B33 PR-33 GI-0.3;3;8 18 4 26 28 11 2 12 3 29 5 9 1 19 27 10 20 14 25 21 17 6 13 15 7 23 16 24 30 22 ;2.18437e+06;11 1 4 26 5 15 2 12 3 28 29 25 6 19 27 10 18 20 23 21 17 8 13 14 7 9 16 24 30 22 ;1.9275e+06
SL-B33 PR-33 GI-0.3;4;14 24 5 17 18 16 19 4 20 27 29 8 6 22 23 21 7 30 26 25 28 9 3 11 2 13 12 10 15 1 ;2.26305e+06;14 25 15 16 24 18 19 4 20 17 23 29 7 22 11 21 27 30 26 6 1 9 3 8 2 13 12 10 5 28 ;1.9883e+06
SL-B33 PR-33 GI-0.3;5;19 21 14 29 22 6 7 27 12 17 23 24 10 1 20 2 9 8 5 18 3 30 16 28 25 4 13 15 26 11 ;2.1958e+06;10 21 5 29 15 6 4 27 12 11 23 30 13 3 17 2 24 8 9 18 1 22 16 28 25 7 26 20 14 19 ;1.94794e+06
SL-B2 PR-33 GI-0.5;1;20 2 24 29 26 12 5 10 15 6 3 30 21 25 14 11 7 22 9 28 16 17 27 4 8 18 19 1 23 13 ;2.24654e+06;20 12 5 29 26 7 24 2 22 27 17 30 21 28 13 11 3 25 10 9 16 14 6 4 8 18 15 1 23 19 ;1.99124e+06
SL-B2 PR-33 GI-0.5;2;16 22 18 30 19 11 5 8 12 24 3 14 4 1 6 28 26 27 29 15 7 10 13 9 2 21 17 20 23 25 ;2.17449e+06;16 22 19 28 11 5 30 18 12 24 3 14 4 2 17 9 8 6 27 13 7 1 15 26 29 21 25 10 23 20 ;1.91857e+06
SL-B2 PR-33 GI-0.5;3;20 30 1 8 11 13 15 24 26 23 17 6 25 12 19 16 3 21 10 7 9 5 4 29 14 22 28 2 18 27 ;2.17229e+06;20 12 28 8 7 19 2 24 4 23 29 5 25 14 27 16 9 21 10 17 3 6 26 13 30 15 1 11 18 22 ;1.95482e+06
SL-B2 PR-33 GI-0.5;4;8 27 22 13 24 7 2 14 21 19 25 10 26 28 15 20 9 23 29 6 11 30 4 18 1 3 17 12 5 16 ;2.18183e+06;1 8 22 13 24 7 20 25 10 19 30 4 26 6 15 2 29 23 21 28 11 9 14 18 27 3 17 12 5 16 ;1.96204e+06
SL-B2 PR-33 GI-0.5;5;24 12 27 10 18 25 26 3 15 1 30 6 9 17 5 4 7 20 13 29 8 21 22 28 11 14 16 2 23 19 ;2.18821e+06;13 12 26 11 18 25 23 3 15 1 14 2 9 7 5 4 10 6 17 29 8 21 20 28 24 27 16 22 30 19 ;1.93844e+06
SL-B22 PR-33 GI-0.5;1;5 2 1 15 12 4 6 16 17 18 22 26 8 13 23 29 21 30 27 19 10 9 3 7 20 25 28 24 14 11 ;2.19619e+06;11 23 29 28 12 7 6 16 17 18 22 24 8 13 4 1 21 30 27 3 10 9 2 19 20 25 15 26 14 5 ;2.00882e+06
SL-B22 PR-33 GI-0.5;2;19 15 22 21 12 10 25 2 26 11 29 4 17 9 7 27 6 5 24 16 30 3 18 14 20 1 28 8 23 13 ;2.20447e+06;19 16 15 21 12 8 25 1 26 11 29 3 17 23 7 22 6 5 27 2 30 4 18 10 20 14 13 28 9 24 ;1.98499e+06
SL-B22 PR-33 GI-0.5;3;22 18 5 19 16 13 23 6 14 4 28 10 9 2 25 20 3 1 26 17 21 15 12 7 24 11 30 8 29 27 ;2.1786e+06;19 18 25 15 29 13 23 6 14 4 28 22 9 26 2 20 3 1 8 17 21 16 10 7 24 11 30 5 12 27 ;2.02008e+06
SL-B22 PR-33 GI-0.5;4;26 3 9 13 1 4 28 5 30 18 7 11 14 29 12 20 19 17 6 16 8 15 21 23 27 25 10 24 2 22 ;2.21627e+06;26 3 2 22 8 4 9 5 24 30 7 11 14 29 12 21 1 17 23 16 19 15 20 28 27 13 18 10 6 25 ;1.97518e+06
SL-B22 PR-33 GI-0.5;5;11 8 5 25 14 23 15 28 6 12 30 1 7 9 3 18 17 19 24 26 29 10 27 16 2 13 4 21 22 20 ;2.16703e+06;29 17 23 25 14 15 3 28 6 5 30 1 7 27 18 16 8 12 24 26 11 10 19 9 2 13 4 21 22 20 ;1.95908e+06
SL-B33 PR-33 GI-0.5;1;13 20 26 5 27 16 3 10 30 24 17 4 12 15 25 8 19 2 29 14 6 21 11 7 9 18 22 1 28 23 ;2.21119e+06;13 20 21 5 27 16 18 30 10 24 17 4 12 15 7 8 19 26 29 14 6 11 28 25 1 3 22 9 23 2 ;2.00883e+06
SL-B33 PR-33 GI-0.5;2;4 14 27 9 20 10 19 8 12 26 13 16 30 17 23 28 29 24 3 22 7 2 11 6 5 15 18 1 25 21 ;2.17817e+06;14 3 24 9 30 4 23 19 12 26 13 16 1 17 5 28 29 27 8 22 7 2 11 6 10 15 18 20 25 21 ;1.95444e+06
SL-B33 PR-33 GI-0.5;3;7 28 22 5 18 20 14 23 24 29 19 2 26 12 15 30 4 16 6 17 10 27 11 21 13 9 8 25 1 3 ;2.24326e+06;13 28 22 5 18 4 14 23 3 27 19 2 26 12 17 24 20 16 10 21 29 6 11 15 7 9 8 25 1 30 ;2.06626e+06
SL-B33 PR-33 GI-0.5;4;28 25 26 30 3 4 5 20 17 1 11 7 23 9 18 22 12 10 6 15 27 21 16 13 19 24 2 8 14 29 ;2.18798e+06;28 24 3 30 6 4 5 25 17 1 11 7 23 9 19 22 12 10 26 15 27 21 16 13 20 14 2 8 18 29 ;2.04535e+06
SL-B33 PR-33 GI-0.5;5;23 16 10 20 15 1 26 11 30 21 19 25 4 18 5 12 3 8 17 27 9 22 24 14 29 28 13 2 6 7 ;2.18249e+06;23 16 10 2 15 4 26 11 1 21 19 25 13 18 5 12 6 8 17 30 9 22 24 14 29 28 20 27 3 7 ;2.03914e+06
SL-B2 PR-50 GI-0.1;1;23 20 28 24 6 17 3 12 29 25 8 16 4 18 10 2 21 15 27 19 5 11 9 22 1 26 14 13 7 30 ;2.15254e+06;25 20 14 24 4 18 1 12 11 23 8 16 2 28 13 26 21 22 29 19 17 27 15 9 3 5 6 10 7 30 ;1.9353e+06
SL-B2 PR-50 GI-0.1;2;19 26 14 22 9 29 3 1 21 12 24 16 20 30 28 18 10 25 13 2 23 4 15 8 27 5 17 6 7 11 ;2.20962e+06;14 24 13 22 4 19 6 25 30 29 12 16 20 9 27 18 10 11 21 2 23 28 26 17 3 5 8 1 7 15 ;1.92717e+06
SL-B2 PR-50 GI-0.1;3;24 10 18 27 19 3 12 9 20 26 14 11 2 28 25 8 7 15 6 21 17 22 4 1 16 5 29 23 13 30 ;2.20807e+06;19 10 4 30 24 3 12 9 16 27 28 25 17 21 20 22 8 2 11 13 6 23 7 1 18 14 29 15 5 26 ;1.93159e+06
SL-B2 PR-50 GI-0.1;4;30 22 29 26 1 9 13 24 2 28 25 21 6 23 17 16 27 11 20 18 12 15 14 7 4 19 10 5 3 8 ;2.22194e+06;14 17 5 26 9 4 25 13 1 28 27 21 2 23 24 19 8 11 29 6 12 18 7 16 22 30 10 20 3 15 ;1.9197e+06
SL-B2 PR-50 GI-0.1;5;30 21 5 12 14 24 23 11 3 8 29 15 13 10 26 22 4 6 18 16 27 9 20 28 1 17 19 25 7 2 ;2.21563e+06;11 27 25 10 22 3 23 20 5 8 1 24 13 12 26 2 18 6 4 16 14 30 28 29 9 15 17 21 7 19 ;1.94902e+06
SL-B33 PR-50 GI-0.1;1;8 16 1 24 27 9 19 11 29 3 30 25 12 15 20 28 10 2 6 13 22 17 23 21 5 4 26 18 7 14 ;2.19122e+06;28 16 19 6 4 24 13 5 14 3 26 1 12 22 20 7 10 2 9 25 15 23 21 17 11 27 30 29 8 18 ;1.91646e+06
SL-B33 PR-50 GI-0.1;2;2 18 23 6 30 15 12 21 10 11 1 20 4 26 9 28 25 3 27 16 29 24 19 22 17 5 13 14 8 7 ;2.20098e+06;10 29 19 4 25 17 26 30 2 16 18 20 7 12 9 28 21 3 27 1 14 24 13 8 15 6 5 22 23 11 ;1.94554e+06
SL-B33 PR-50 GI-0.1;3;15 14 4 16 3 5 10 13 1 9 24 17 21 27 11 30 23 22 19 20 26 18 25 28 29 7 8 6 12 2 ;2.24782e+06;18 1 4 11 19 22 25 13 27 9 15 26 21 28 8 30 23 10 3 29 12 24 17 16 5 7 14 6 20 2 ;1.89636e+06
SL-B33 PR-50 GI-0.1;4;28 11 18 30 12 21 17 5 14 3 1 24 6 29 2 7 9 15 16 19 25 27 23 4 13 20 22 10 8 26 ;2.2279e+06;10 23 13 19 12 25 4 5 14 3 9 15 6 2 20 7 1 29 16 17 27 18 21 8 11 28 22 24 30 26 ;1.90588e+06
SL-B33 PR-50 GI-0.1;5;4 17 11 8 6 21 3 12 5 15 9 27 29 10 16 25 23 18 28 20 24 22 30 14 1 26 13 2 7 19 ;2.24441e+06;4 17 18 9 6 14 22 29 12 15 11 23 1 2 16 25 19 30 28 20 5 3 27 21 10 26 13 8 7 24 ;1.94424e+06
SL-B50 PR-50 GI-0.1;1;5 26 16 30 12 21 19 2 18 17 11 15 6 27 25 10 22 3 20 1 8 7 28 23 24 29 4 9 13 14 ;2.22777e+06;20 8 16 6 22 13 19 14 18 2 11 12 5 15 25 17 3 27 10 24 26 7 28 23 1 29 4 9 30 21 ;1.91673e+06
SL-B50 PR-50 GI-0.1;2;24 5 2 13 9 12 23 29 3 8 30 14 7 4 19 21 10 25 1 6 15 28 18 26 20 17 22 16 27 11 ;2.24851e+06;14 27 5 11 19 28 6 12 15 8 26 16 7 9 24 21 10 18 1 13 23 29 3 25 20 17 22 2 30 4 ;1.91138e+06
SL-B50 PR-50 GI-0.1;3;2 12 8 13 3 17 4 15 27 21 18 9 19 24 30 16 14 26 7 11 6 22 10 25 1 23 29 20 5 28 ;2.18462e+06;10 8 12 16 13 2 5 14 27 24 18 21 19 23 29 3 15 26 17 6 9 22 7 25 1 11 30 20 4 28 ;1.94436e+06
SL-B50 PR-50 GI-0.1;4;23 8 28 9 11 27 15 21 5 6 17 24 20 16 26 30 12 29 14 19 18 3 25 22 4 2 1 13 7 10 ;2.16751e+06;26 27 28 13 11 19 10 25 2 23 29 7 20 9 15 30 12 14 3 8 18 17 24 22 6 5 1 16 21 4 ;1.93289e+06
SL-B50 PR-50 GI-0.1;5;21 27 5 20 15 17 11 7 1 10 6 16 19 12 30 13 22 24 2 9 18 8 26 23 29 4 25 3 14 28 ;2.1563e+06;21 27 5 17 14 28 11 7 1 4 6 29 20 8 9 13 22 24 2 30 18 26 12 3 16 10 25 19 15 23 ;1.94738e+06
SL-B2 PR-50 GI-0.2;1;2 26 22 9 19 5 10 29 6 3 28 17 13 8 7 14 21 16 18 15 1 27 25 30 11 12 24 4 20 23 ;2.19601e+06;29 24 3 23 13 5 7 2 6 17 28 15 10 16 27 14 21 8 26 22 1 11 19 30 9 12 18 4 20 25 ;1.96267e+06
SL-B2 PR-50 GI-0.2;2;24 10 15 17 22 11 4 23 14 5 28 13 30 2 20 1 9 8 21 26 7 27 19 3 16 29 6 25 12 18 ;2.18643e+06;8 10 15 19 4 26 3 23 27 5 17 14 30 20 2 1 9 13 16 28 12 24 22 11 21 7 6 29 25 18 ;1.93596e+06
SL-B2 PR-50 GI-0.2;3;30 28 9 12 4 7 8 29 5 22 24 1 11 14 3 17 20 21 25 2 10 27 15 13 6 16 18 19 26 23 ;2.14332e+06;30 28 2 5 21 19 4 14 12 22 29 1 25 9 3 7 20 8 17 15 10 18 24 23 6 27 16 11 26 13 ;1.94184e+06
SL-B2 PR-50 GI-0.2;4;9 2 6 19 28 5 20 4 10 21 1 3 25 13 11 29 17 8 7 16 22 15 12 24 27 14 26 23 18 30 ;2.20402e+06;23 19 6 2 4 16 20 29 10 12 1 14 3 8 11 18 24 25 15 5 22 7 13 17 27 28 26 9 21 30 ;1.94847e+06
SL-B2 PR-50 GI-0.2;5;4 10 5 14 7 19 9 12 29 18 2 1 17 15 11 16 28 26 30 20 3 25 6 21 13 22 24 23 8 27 ;2.22013e+06;4 13 19 14 7 5 8 24 29 25 16 1 17 18 11 26 30 12 28 20 23 21 15 6 10 22 2 3 9 27 ;1.97205e+06
SL-B33 PR-50 GI-0.2;1;7 4 12 29 18 9 1 26 2 23 22 16 17 19 15 5 28 6 11 25 10 30 3 24 27 14 20 8 13 21 ;2.14863e+06;17 4 15 29 16 9 1 26 2 23 22 18 24 19 12 5 28 3 11 14 10 30 20 21 27 7 13 8 25 6 ;1.9685e+06
SL-B33 PR-50 GI-0.2;2;28 3 11 5 12 16 8 19 2 30 26 14 4 25 27 13 10 23 1 29 7 17 9 6 21 20 24 22 15 18 ;2.2021e+06;21 29 13 5 4 30 26 19 2 16 18 14 12 20 27 22 10 23 8 3 7 17 24 6 15 1 9 11 28 25 ;1.91757e+06
SL-B33 PR-50 GI-0.2;3;8 30 10 27 14 16 22 28 17 23 5 26 2 24 3 9 1 11 12 4 19 6 25 21 15 13 18 7 29 20 ;2.14826e+06;8 18 10 12 14 16 22 29 30 23 5 26 11 7 15 9 28 2 27 4 19 6 17 21 3 1 25 24 13 20 ;1.93842e+06
SL-B33 PR-50 GI-0.2;4;11 16 2 10 28 29 18 15 1 25 19 6 14 17 9 23 24 4 27 3 22 5 20 7 21 12 30 13 8 26 ;2.18074e+06;11 18 12 24 14 29 16 15 27 25 19 6 28 17 2 22 21 4 1 3 23 5 20 7 10 30 9 13 8 26 ;1.97298e+06
SL-B33 PR-50 GI-0.2;5;17 12 22 30 11 2 26 15 9 21 24 5 25 10 20 4 14 23 13 28 29 8 1 18 19 16 27 3 6 7 ;2.18674e+06;21 12 11 30 26 2 25 10 5 1 22 14 23 24 20 4 17 18 13 28 19 29 9 27 8 16 15 3 6 7 ;1.9488e+06
SL-B50 PR-50 GI-0.2;1;24 27 21 17 1 25 20 15 18 9 12 16 30 23 3 10 11 22 26 6 28 4 2 8 29 13 7 14 5 19 ;2.19979e+06;3 27 19 24 5 4 20 23 18 10 12 16 8 21 1 9 15 22 26 11 28 25 2 29 17 13 7 14 30 6 ;1.93412e+06
